"subject","acc","model","fit"
1,1,"Q",0.8525
1,1,"Q * gaze",0.817
1,1,"Q + gaze",0.821
1,1,"softmax(Q)",0.956
1,1,"softmax(Q * gaze)",0.856
1,1,"softmax(Q) * gaze",0.9195
1,1,"softmax(Q) + gaze",0.932
2,0.7,"Q",0.573999999999999
2,0.7,"Q * gaze",0.6345
2,0.7,"Q + gaze",0.6515
2,0.7,"softmax(Q)",0.5865
2,0.7,"softmax(Q * gaze)",0.687
2,0.7,"softmax(Q) * gaze",0.6225
2,0.7,"softmax(Q) + gaze",0.624
3,1,"Q",0.852
3,1,"Q * gaze",0.7705
3,1,"Q + gaze",0.827
3,1,"softmax(Q)",0.965
3,1,"softmax(Q * gaze)",0.8655
3,1,"softmax(Q) * gaze",0.9335
3,1,"softmax(Q) + gaze",0.9495
4,0.55,"Q",0.5255
4,0.55,"Q * gaze",0.4635
4,0.55,"Q + gaze",0.464
4,0.55,"softmax(Q)",0.546
4,0.55,"softmax(Q * gaze)",0.4905
4,0.55,"softmax(Q) * gaze",0.4755
4,0.55,"softmax(Q) + gaze",0.544
5,0.9,"Q",0.6715
5,0.9,"Q * gaze",0.676
5,0.9,"Q + gaze",0.6605
5,0.9,"softmax(Q)",0.9245
5,0.9,"softmax(Q * gaze)",0.8325
5,0.9,"softmax(Q) * gaze",0.754
5,0.9,"softmax(Q) + gaze",0.852
6,0.7,"Q",0.6215
6,0.7,"Q * gaze",0.637
6,0.7,"Q + gaze",0.633
6,0.7,"softmax(Q)",0.612
6,0.7,"softmax(Q * gaze)",0.809
6,0.7,"softmax(Q) * gaze",0.632
6,0.7,"softmax(Q) + gaze",0.682
7,0.55,"Q",0.605
7,0.55,"Q * gaze",0.5505
7,0.55,"Q + gaze",0.599
7,0.55,"softmax(Q)",0.5975
7,0.55,"softmax(Q * gaze)",0.6215
7,0.55,"softmax(Q) * gaze",0.549
7,0.55,"softmax(Q) + gaze",0.6345
8,0.8,"Q",0.767
8,0.8,"Q * gaze",0.7405
8,0.8,"Q + gaze",0.6935
8,0.8,"softmax(Q)",0.7855
8,0.8,"softmax(Q * gaze)",0.723
8,0.8,"softmax(Q) * gaze",0.739
8,0.8,"softmax(Q) + gaze",0.7235
9,1,"Q",0.7795
9,1,"Q * gaze",0.883
9,1,"Q + gaze",0.7965
9,1,"softmax(Q)",0.986
9,1,"softmax(Q * gaze)",0.958
9,1,"softmax(Q) * gaze",0.992
9,1,"softmax(Q) + gaze",0.984
10,1,"Q",0.694
10,1,"Q * gaze",0.7485
10,1,"Q + gaze",0.698
10,1,"softmax(Q)",0.887
10,1,"softmax(Q * gaze)",0.874
10,1,"softmax(Q) * gaze",0.9325
10,1,"softmax(Q) + gaze",0.8825
11,0.9,"Q",0.703
11,0.9,"Q * gaze",0.742
11,0.9,"Q + gaze",0.722
11,0.9,"softmax(Q)",0.8
11,0.9,"softmax(Q * gaze)",0.891
11,0.9,"softmax(Q) * gaze",0.7985
11,0.9,"softmax(Q) + gaze",0.8385
12,0.85,"Q",0.78
12,0.85,"Q * gaze",0.7785
12,0.85,"Q + gaze",0.7295
12,0.85,"softmax(Q)",0.8595
12,0.85,"softmax(Q * gaze)",0.868
12,0.85,"softmax(Q) * gaze",0.8135
12,0.85,"softmax(Q) + gaze",0.8295
13,0.6,"Q",0.5945
13,0.6,"Q * gaze",0.518
13,0.6,"Q + gaze",0.526
13,0.6,"softmax(Q)",0.568
13,0.6,"softmax(Q * gaze)",0.576
13,0.6,"softmax(Q) * gaze",0.516
13,0.6,"softmax(Q) + gaze",0.5595
15,0.65,"Q",0.5955
15,0.65,"Q * gaze",0.5635
15,0.65,"Q + gaze",0.596
15,0.65,"softmax(Q)",0.6205
15,0.65,"softmax(Q * gaze)",0.6275
15,0.65,"softmax(Q) * gaze",0.576
15,0.65,"softmax(Q) + gaze",0.6085
16,1,"Q",0.8195
16,1,"Q * gaze",0.751
16,1,"Q + gaze",0.806
16,1,"softmax(Q)",0.98
16,1,"softmax(Q * gaze)",0.8625
16,1,"softmax(Q) * gaze",0.9045
