"subject","acc","model","fit"
1,0.883333333333333,"Q",0.767833333333334
1,0.883333333333333,"Q * gaze",0.757
1,0.883333333333333,"Q + gaze",0.764166666666667
1,0.883333333333333,"softmax(Q)",0.855
1,0.883333333333333,"softmax(Q * gaze)",0.825833333333333
1,0.883333333333333,"softmax(Q) * gaze",0.8465
1,0.883333333333333,"softmax(Q) + gaze",0.860833333333333
2,0.516666666666667,"Q",0.553166666666666
2,0.516666666666667,"Q * gaze",0.587666666666667
2,0.516666666666667,"Q + gaze",0.574333333333333
2,0.516666666666667,"softmax(Q)",0.558666666666666
2,0.516666666666667,"softmax(Q * gaze)",0.615833333333333
2,0.516666666666667,"softmax(Q) * gaze",0.571166666666667
2,0.516666666666667,"softmax(Q) + gaze",0.571666666666667
3,0.9,"Q",0.776333333333333
3,0.9,"Q * gaze",0.731333333333334
3,0.9,"Q + gaze",0.784
3,0.9,"softmax(Q)",0.8875
3,0.9,"softmax(Q * gaze)",0.844166666666667
3,0.9,"softmax(Q) * gaze",0.858
3,0.9,"softmax(Q) + gaze",0.876666666666667
4,0.5,"Q",0.517500000000001
4,0.5,"Q * gaze",0.4945
4,0.5,"Q + gaze",0.4875
4,0.5,"softmax(Q)",0.537833333333334
4,0.5,"softmax(Q * gaze)",0.501833333333333
4,0.5,"softmax(Q) * gaze",0.486666666666667
4,0.5,"softmax(Q) + gaze",0.5745
5,0.85,"Q",0.630333333333334
5,0.85,"Q * gaze",0.644833333333333
5,0.85,"Q + gaze",0.651833333333333
5,0.85,"softmax(Q)",0.912666666666667
5,0.85,"softmax(Q * gaze)",0.796166666666667
5,0.85,"softmax(Q) * gaze",0.702333333333333
5,0.85,"softmax(Q) + gaze",0.833499999999999
6,0.583333333333333,"Q",0.558
6,0.583333333333333,"Q * gaze",0.5615
6,0.583333333333333,"Q + gaze",0.578333333333333
6,0.583333333333333,"softmax(Q)",0.564
6,0.583333333333333,"softmax(Q * gaze)",0.625166666666667
6,0.583333333333333,"softmax(Q) * gaze",0.563
6,0.583333333333333,"softmax(Q) + gaze",0.616666666666666
7,0.6,"Q",0.557333333333334
7,0.6,"Q * gaze",0.528333333333334
7,0.6,"Q + gaze",0.5745
7,0.6,"softmax(Q)",0.557833333333333
7,0.6,"softmax(Q * gaze)",0.526
7,0.6,"softmax(Q) * gaze",0.521166666666667
7,0.6,"softmax(Q) + gaze",0.601333333333334
8,0.683333333333333,"Q",0.703166666666667
8,0.683333333333333,"Q * gaze",0.701
8,0.683333333333333,"Q + gaze",0.685666666666667
8,0.683333333333333,"softmax(Q)",0.682166666666666
8,0.683333333333333,"softmax(Q * gaze)",0.697833333333333
8,0.683333333333333,"softmax(Q) * gaze",0.697666666666667
8,0.683333333333333,"softmax(Q) + gaze",0.716
9,0.95,"Q",0.779166666666667
9,0.95,"Q * gaze",0.793666666666667
9,0.95,"Q + gaze",0.774666666666666
9,0.95,"softmax(Q)",0.9405
9,0.95,"softmax(Q * gaze)",0.8495
9,0.95,"softmax(Q) * gaze",0.930333333333333
9,0.95,"softmax(Q) + gaze",0.938833333333333
10,0.8,"Q",0.638166666666667
10,0.8,"Q * gaze",0.628
10,0.8,"Q + gaze",0.627666666666666
10,0.8,"softmax(Q)",0.781333333333333
10,0.8,"softmax(Q * gaze)",0.709166666666667
10,0.8,"softmax(Q) * gaze",0.856666666666667
10,0.8,"softmax(Q) + gaze",0.795833333333333
11,0.7,"Q",0.660166666666667
11,0.7,"Q * gaze",0.664166666666667
11,0.7,"Q + gaze",0.661833333333333
11,0.7,"softmax(Q)",0.7195
11,0.7,"softmax(Q * gaze)",0.759166666666667
11,0.7,"softmax(Q) * gaze",0.698
11,0.7,"softmax(Q) + gaze",0.756166666666667
12,0.683333333333333,"Q",0.701833333333334
12,0.683333333333333,"Q * gaze",0.664833333333333
12,0.683333333333333,"Q + gaze",0.662666666666667
12,0.683333333333333,"softmax(Q)",0.744666666666667
12,0.683333333333333,"softmax(Q * gaze)",0.685
12,0.683333333333333,"softmax(Q) * gaze",0.69
12,0.683333333333333,"softmax(Q) + gaze",0.708
13,0.583333333333333,"Q",0.548
13,0.583333333333333,"Q * gaze",0.569
13,0.583333333333333,"Q + gaze",0.565166666666667
13,0.583333333333333,"softmax(Q)",0.547166666666667
13,0.583333333333333,"softmax(Q * gaze)",0.597
13,0.583333333333333,"softmax(Q) * gaze",0.5635
13,0.583333333333333,"softmax(Q) + gaze",0.611
15,0.466666666666667,"Q",0.550833333333333
15,0.466666666666667,"Q * gaze",0.514
15,0.466666666666667,"Q + gaze",0.547999999999999
15,0.466666666666667,"softmax(Q)",0.5615
15,0.466666666666667,"softmax(Q * gaze)",0.5525
15,0.466666666666667,"softmax(Q) * gaze",0.513166666666667
15,0.466666666666667,"softmax(Q) + gaze",0.554666666666666
16,0.883333333333333,"Q",0.744833333333333
16,0.883333333333333,"Q * gaze",0.7735
16,0.883333333333333,"Q + gaze",0.758666666666667
16,0.883333333333333,"softmax(Q)",0.890666666666667
16,0.883333333333333,"softmax(Q * gaze)",0.882166666666667
16,0.883333333333333,"softmax(Q) * gaze",0.862666666666667
16,0.883333333333333,"softmax(Q) + gaze",0.896333333333333
17,0.55,"Q",0.555
17,0.55,"Q * gaze",0.526
17,0.55,"Q + gaze",0.542666666666667
17,0.55,"softmax(Q)",0.6145
17,0.55,"softmax(Q * gaze)",0.669666666666667
17,0.55,"softmax(Q) * gaze",0.578666666666667
17,0.55,"softmax(Q) + gaze",0.599
18,0.783333333333333,"Q",0.65
18,0.783333333333333,"Q * gaze",0.651333333333333
18,0.783333333333333,"Q + gaze",0.650333333333333
18,0.783333333333333,"softmax(Q)",0.768166666666667
18,0.783333333333333,"softmax(Q * gaze)",0.803
18,0.783333333333333,"softmax(Q) * gaze",0.719833333333333
18,0.783333333333333,"softmax(Q) + gaze",0.761666666666667
19,0.816666666666667,"Q",0.697333333333334
19,0.816666666666667,"Q * gaze",0.6305
19,0.816666666666667,"Q + gaze",0.648333333333333
19,0.816666666666667,"softmax(Q)",0.780833333333333
19,0.816666666666667,"softmax(Q * gaze)",0.733666666666667
19,0.816666666666667,"softmax(Q) * gaze",0.709166666666666
19,0.816666666666667,"softmax(Q) + gaze",0.750833333333334
20,0.766666666666667,"Q",0.732666666666667
20,0.766666666666667,"Q * gaze",0.749
20,0.766666666666667,"Q + gaze",0.720333333333334
20,0.766666666666667,"softmax(Q)",0.826166666666667
20,0.766666666666667,"softmax(Q * gaze)",0.749333333333333
20,0.766666666666667,"softmax(Q) * gaze",0.764166666666667
20,0.766666666666667,"softmax(Q) + gaze",0.802166666666666
21,0.916666666666667,"Q",0.719333333333332
21,0.916666666666667,"Q * gaze",0.7675
21,0.916666666666667,"Q + gaze",0.715166666666667
21,0.916666666666667,"softmax(Q)",0.921666666666667
21,0.916666666666667,"softmax(Q * gaze)",0.879833333333333
21,0.916666666666667,"softmax(Q) * gaze",0.893166666666667
21,0.916666666666667,"softmax(Q) + gaze",0.908666666666667
23,0.9,"Q",0.7345
23,0.9,"Q * gaze",0.718999999999999
23,0.9,"Q + gaze",0.719166666666667
23,0.9,"softmax(Q)",0.858
23,0.9,"softmax(Q * gaze)",0.870166666666667
23,0.9,"softmax(Q) * gaze",0.8495
23,0.9,"softmax(Q) + gaze",0.8745
24,0.583333333333333,"Q",0.615333333333334
24,0.583333333333333,"Q * gaze",0.625166666666667
24,0.583333333333333,"Q + gaze",0.624333333333334
24,0.583333333333333,"softmax(Q)",0.661333333333334
24,0.583333333333333,"softmax(Q * gaze)",0.705666666666667
24,0.583333333333333,"softmax(Q) * gaze",0.646833333333333
24,0.583333333333333,"softmax(Q) + gaze",0.6575
25,0.85,"Q",0.7645
25,0.85,"Q * gaze",0.682166666666666
25,0.85,"Q + gaze",0.753833333333334
25,0.85,"softmax(Q)",0.794
25,0.85,"softmax(Q * gaze)",0.758499999999999
25,0.85,"softmax(Q) * gaze",0.721
25,0.85,"softmax(Q) + gaze",0.8655
26,0.633333333333333,"Q",0.653166666666666
26,0.633333333333333,"Q * gaze",0.597166666666667
26,0.633333333333333,"Q + gaze",0.613
26,0.633333333333333,"softmax(Q)",0.718333333333333
26,0.633333333333333,"softmax(Q * gaze)",0.7035
26,0.633333333333333,"softmax(Q) * gaze",0.648666666666667
26,0.633333333333333,"softmax(Q) + gaze",0.663166666666666
27,0.766666666666667,"Q",0.612166666666667
27,0.766666666666667,"Q * gaze",0.625833333333334
27,0.766666666666667,"Q + gaze",0.633666666666666
27,0.766666666666667,"softmax(Q)",0.726
27,0.766666666666667,"softmax(Q * gaze)",0.828166666666667
27,0.766666666666667,"softmax(Q) * gaze",0.718833333333334
27,0.766666666666667,"softmax(Q) + gaze",0.723333333333333
28,0.9,"Q",0.753166666666668
28,0.9,"Q * gaze",0.755666666666667
28,0.9,"Q + gaze",0.735
28,0.9,"softmax(Q)",0.876666666666667
28,0.9,"softmax(Q * gaze)",0.835333333333333
28,0.9,"softmax(Q) * gaze",0.875333333333333
28,0.9,"softmax(Q) + gaze",0.873166666666667
29,0.733333333333333,"Q",0.608
29,0.733333333333333,"Q * gaze",0.572833333333334
29,0.733333333333333,"Q + gaze",0.6005
29,0.733333333333333,"softmax(Q)",0.630166666666667
29,0.733333333333333,"softmax(Q * gaze)",0.683166666666667
29,0.733333333333333,"softmax(Q) * gaze",0.599166666666667
29,0.733333333333333,"softmax(Q) + gaze",0.619333333333333
30,0.566666666666667,"Q",0.580333333333333
30,0.566666666666667,"Q * gaze",0.527499999999999
30,0.566666666666667,"Q + gaze",0.552666666666666
30,0.566666666666667,"softmax(Q)",0.596666666666666
30,0.566666666666667,"softmax(Q * gaze)",0.556
30,0.566666666666667,"softmax(Q) * gaze",0.550833333333333
30,0.566666666666667,"softmax(Q) + gaze",0.582166666666667
31,0.9,"Q",0.701833333333334
31,0.9,"Q * gaze",0.728
31,0.9,"Q + gaze",0.706166666666666
31,0.9,"softmax(Q)",0.8725
31,0.9,"softmax(Q * gaze)",0.872333333333333
31,0.9,"softmax(Q) * gaze",0.876666666666666
31,0.9,"softmax(Q) + gaze",0.874333333333334
32,0.733333333333333,"Q",0.642
32,0.733333333333333,"Q * gaze",0.617166666666667
32,0.733333333333333,"Q + gaze",0.638666666666667
32,0.733333333333333,"softmax(Q)",0.7045
32,0.733333333333333,"softmax(Q * gaze)",0.655333333333333
32,0.733333333333333,"softmax(Q) * gaze",0.657166666666667
32,0.733333333333333,"softmax(Q) + gaze",0.6825
35,0.533333333333333,"Q",0.5515
35,0.533333333333333,"Q * gaze",0.542166666666667
35,0.533333333333333,"Q + gaze",0.553666666666667
35,0.533333333333333,"softmax(Q)",0.548666666666667
35,0.533333333333333,"softmax(Q * gaze)",0.519666666666667
35,0.533333333333333,"softmax(Q) * gaze",0.541833333333333
35,0.533333333333333,"softmax(Q) + gaze",0.559666666666668
36,0.683333333333333,"Q",0.580666666666667
36,0.683333333333333,"Q * gaze",0.591666666666667
36,0.683333333333333,"Q + gaze",0.595833333333333
36,0.683333333333333,"softmax(Q)",0.641000000000001
36,0.683333333333333,"softmax(Q * gaze)",0.664833333333333
36,0.683333333333333,"softmax(Q) * gaze",0.599666666666667
36,0.683333333333333,"softmax(Q) + gaze",0.638833333333333
37,0.85,"Q",0.679333333333333
37,0.85,"Q * gaze",0.7195
37,0.85,"Q + gaze",0.692333333333333
37,0.85,"softmax(Q)",0.866333333333333
37,0.85,"softmax(Q * gaze)",0.838833333333333
37,0.85,"softmax(Q) * gaze",0.818
37,0.85,"softmax(Q) + gaze",0.854333333333334
38,0.8,"Q",0.679166666666666
38,0.8,"Q * gaze",0.689333333333333
38,0.8,"Q + gaze",0.679
38,0.8,"softmax(Q)",0.756666666666667
38,0.8,"softmax(Q * gaze)",0.786
38,0.8,"softmax(Q) * gaze",0.723666666666667
38,0.8,"softmax(Q) + gaze",0.763333333333334
39,0.75,"Q",0.615666666666667
39,0.75,"Q * gaze",0.622833333333334
39,0.75,"Q + gaze",0.631
39,0.75,"softmax(Q)",0.6975
39,0.75,"softmax(Q * gaze)",0.736166666666667
39,0.75,"softmax(Q) * gaze",0.667833333333333
39,0.75,"softmax(Q) + gaze",0.775166666666666
40,0.666666666666667,"Q",0.602833333333334
40,0.666666666666667,"Q * gaze",0.557
40,0.666666666666667,"Q + gaze",0.555833333333333
40,0.666666666666667,"softmax(Q)",0.655166666666667
40,0.666666666666667,"softmax(Q * gaze)",0.618166666666667
40,0.666666666666667,"softmax(Q) * gaze",0.580833333333333
40,0.666666666666667,"softmax(Q) + gaze",0.646833333333333
41,0.766666666666667,"Q",0.605666666666666
41,0.766666666666667,"Q * gaze",0.575499999999999
41,0.766666666666667,"Q + gaze",0.602666666666667
41,0.766666666666667,"softmax(Q)",0.6515
41,0.766666666666667,"softmax(Q * gaze)",0.712333333333333
41,0.766666666666667,"softmax(Q) * gaze",0.580833333333333
41,0.766666666666667,"softmax(Q) + gaze",0.725333333333333
42,0.766666666666667,"Q",0.727166666666667
42,0.766666666666667,"Q * gaze",0.6665
42,0.766666666666667,"Q + gaze",0.72
42,0.766666666666667,"softmax(Q)",0.793000000000001
42,0.766666666666667,"softmax(Q * gaze)",0.768166666666667
42,0.766666666666667,"softmax(Q) * gaze",0.746666666666667
42,0.766666666666667,"softmax(Q) + gaze",0.794833333333334
43,0.75,"Q",0.7815
43,0.75,"Q * gaze",0.720333333333333
43,0.75,"Q + gaze",0.7775
43,0.75,"softmax(Q)",0.822666666666667
43,0.75,"softmax(Q * gaze)",0.780166666666667
43,0.75,"softmax(Q) * gaze",0.810833333333333
43,0.75,"softmax(Q) + gaze",0.824833333333333
44,0.6,"Q",0.645666666666666
44,0.6,"Q * gaze",0.565166666666667
44,0.6,"Q + gaze",0.615
44,0.6,"softmax(Q)",0.668
44,0.6,"softmax(Q * gaze)",0.579
44,0.6,"softmax(Q) * gaze",0.606666666666667
44,0.6,"softmax(Q) + gaze",0.667333333333333
45,0.666666666666667,"Q",0.690833333333333
45,0.666666666666667,"Q * gaze",0.650666666666667
45,0.666666666666667,"Q + gaze",0.689166666666667
45,0.666666666666667,"softmax(Q)",0.782833333333333
45,0.666666666666667,"softmax(Q * gaze)",0.640166666666667
45,0.666666666666667,"softmax(Q) * gaze",0.709666666666667
45,0.666666666666667,"softmax(Q) + gaze",0.778666666666667
46,0.533333333333333,"Q",0.522000000000001
46,0.533333333333333,"Q * gaze",0.5435
46,0.533333333333333,"Q + gaze",0.5125
46,0.533333333333333,"softmax(Q)",0.523999999999999
46,0.533333333333333,"softmax(Q * gaze)",0.609833333333333
46,0.533333333333333,"softmax(Q) * gaze",0.5215
46,0.533333333333333,"softmax(Q) + gaze",0.529
47,0.716666666666667,"Q",0.710666666666667
47,0.716666666666667,"Q * gaze",0.6505
47,0.716666666666667,"Q + gaze",0.703
47,0.716666666666667,"softmax(Q)",0.799
47,0.716666666666667,"softmax(Q * gaze)",0.703333333333334
47,0.716666666666667,"softmax(Q) * gaze",0.724166666666667
47,0.716666666666667,"softmax(Q) + gaze",0.7935
48,0.933333333333333,"Q",0.7645
48,0.933333333333333,"Q * gaze",0.742833333333333
48,0.933333333333333,"Q + gaze",0.7635
48,0.933333333333333,"softmax(Q)",0.903666666666667
48,0.933333333333333,"softmax(Q * gaze)",0.769833333333333
48,0.933333333333333,"softmax(Q) * gaze",0.883333333333334
48,0.933333333333333,"softmax(Q) + gaze",0.8985
49,0.683333333333333,"Q",0.701333333333333
49,0.683333333333333,"Q * gaze",0.679166666666666
49,0.683333333333333,"Q + gaze",0.689833333333334
49,0.683333333333333,"softmax(Q)",0.7245
49,0.683333333333333,"softmax(Q * gaze)",0.719333333333333
49,0.683333333333333,"softmax(Q) * gaze",0.708
49,0.683333333333333,"softmax(Q) + gaze",0.708833333333333
50,0.683333333333333,"Q",0.636
50,0.683333333333333,"Q * gaze",0.617666666666667
50,0.683333333333333,"Q + gaze",0.607
50,0.683333333333333,"softmax(Q)",0.699666666666667
50,0.683333333333333,"softmax(Q * gaze)",0.751166666666667
50,0.683333333333333,"softmax(Q) * gaze",0.6485
50,0.683333333333333,"softmax(Q) + gaze",0.707166666666667
52,0.65,"Q",0.714
52,0.65,"Q * gaze",0.626333333333333
52,0.65,"Q + gaze",0.6735
52,0.65,"softmax(Q)",0.775
52,0.65,"softmax(Q * gaze)",0.673333333333334
52,0.65,"softmax(Q) * gaze",0.713666666666666
52,0.65,"softmax(Q) + gaze",0.750333333333333
53,0.8,"Q",0.721666666666667
53,0.8,"Q * gaze",0.7215
53,0.8,"Q + gaze",0.698333333333333
53,0.8,"softmax(Q)",0.845333333333334
53,0.8,"softmax(Q * gaze)",0.814
53,0.8,"softmax(Q) * gaze",0.807666666666667
53,0.8,"softmax(Q) + gaze",0.819
54,0.883333333333333,"Q",0.742166666666667
54,0.883333333333333,"Q * gaze",0.752666666666667
