"subject","gaze_beta","model","gaze_effect","fitted_effect"
1,0.252270015187647,"Q",0.25,0.0674999999999999
1,0.252270015187647,"Q * gaze",0.25,0.585
1,0.252270015187647,"Q + gaze",0.25,0.306666666666667
1,0.252270015187647,"softmax(Q)",0.25,0.0375
1,0.252270015187647,"softmax(Q * gaze)",0.25,0.5225
1,0.252270015187647,"softmax(Q) * gaze",0.25,0.35
1,0.252270015187647,"softmax(Q) + gaze",0.25,0.225833333333333
1,0.252270015187647,"softmax(Q + gaze)",0.25,0.303333333333333
2,0.209463316865894,"Q",0.75,-0.0333333333333333
2,0.209463316865894,"Q * gaze",0.75,0.765833333333333
2,0.209463316865894,"Q + gaze",0.75,0.639166666666667
2,0.209463316865894,"softmax(Q)",0.75,-0.00916666666666666
2,0.209463316865894,"softmax(Q * gaze)",0.75,0.7425
2,0.209463316865894,"softmax(Q) * gaze",0.75,0.7975
2,0.209463316865894,"softmax(Q) + gaze",0.75,0.6325
2,0.209463316865894,"softmax(Q + gaze)",0.75,0.698333333333333
3,0.239244948878143,"Q",0,-0.0708333333333333
3,0.239244948878143,"Q * gaze",0,0.49
3,0.239244948878143,"Q + gaze",0,0.145
3,0.239244948878143,"softmax(Q)",0,-0.0425
3,0.239244948878143,"softmax(Q * gaze)",0,0.459166666666667
3,0.239244948878143,"softmax(Q) * gaze",0,0.290833333333333
3,0.239244948878143,"softmax(Q) + gaze",0,0.15
3,0.239244948878143,"softmax(Q + gaze)",0,0.239166666666667
4,0.652104073568019,"Q",0.833333333333333,0.00583333333333336
4,0.652104073568019,"Q * gaze",0.833333333333333,0.764166666666667
4,0.652104073568019,"Q + gaze",0.833333333333333,0.6075
4,0.652104073568019,"softmax(Q)",0.833333333333333,-0.0083333333333333
4,0.652104073568019,"softmax(Q * gaze)",0.833333333333333,0.84
4,0.652104073568019,"softmax(Q) * gaze",0.833333333333333,0.773333333333333
4,0.652104073568019,"softmax(Q) + gaze",0.833333333333333,0.684166666666667
4,0.652104073568019,"softmax(Q + gaze)",0.833333333333333,0.820833333333333
5,0.245657979659213,"Q",0.0833333333333334,0.0516666666666666
5,0.245657979659213,"Q * gaze",0.0833333333333334,0.556666666666667
5,0.245657979659213,"Q + gaze",0.0833333333333334,0.3675
5,0.245657979659213,"softmax(Q)",0.0833333333333334,-0.00666666666666671
5,0.245657979659213,"softmax(Q * gaze)",0.0833333333333334,0.424166666666667
5,0.245657979659213,"softmax(Q) * gaze",0.0833333333333334,0.536666666666667
5,0.245657979659213,"softmax(Q) + gaze",0.0833333333333334,0.250833333333333
5,0.245657979659213,"softmax(Q + gaze)",0.0833333333333334,0.196666666666667
6,0.610596042685831,"Q",1,0.0425
6,0.610596042685831,"Q * gaze",1,0.874166666666667
6,0.610596042685831,"Q + gaze",1,0.824166666666667
6,0.610596042685831,"softmax(Q)",1,0.03
6,0.610596042685831,"softmax(Q * gaze)",1,0.949166666666667
6,0.610596042685831,"softmax(Q) * gaze",1,0.875833333333333
6,0.610596042685831,"softmax(Q) + gaze",1,0.85
6,0.610596042685831,"softmax(Q + gaze)",1,0.946666666666667
7,0.353484589645392,"Q",0.583333333333333,-0.0333333333333333
7,0.353484589645392,"Q * gaze",0.583333333333333,0.611666666666667
