"gaze_bucket","model","avg_mean_RT","sd_mean_RT","n","mean_fit","se","upper","lower"
1,"Q",2531.84597054886,1073.84179072137,83,2498.19657036119,117.869449504536,2649.7154200534,2413.97652104433
1,"Q * gaze",2531.84597054886,1073.84179072137,83,2684.22384268587,117.869449504536,2649.7154200534,2413.97652104433
1,"Q + gaze",2531.84597054886,1073.84179072137,83,2497.0351511677,117.869449504536,2649.7154200534,2413.97652104433
1,"softmax(Q)",2531.84597054886,1073.84179072137,83,2475.84469019034,117.869449504536,2649.7154200534,2413.97652104433
1,"softmax(Q * gaze)",2531.84597054886,1073.84179072137,83,2580.95098392782,117.869449504536,2649.7154200534,2413.97652104433
1,"softmax(Q) * gaze",2531.84597054886,1073.84179072137,83,2834.00431819129,117.869449504536,2649.7154200534,2413.97652104433
1,"softmax(Q) + gaze",2531.84597054886,1073.84179072137,83,2520.87932995414,117.869449504536,2649.7154200534,2413.97652104433
2,"Q",2662.51744249726,1057.28001453398,83,2500.45852167514,116.051558397212,2778.56900089447,2546.46588410005
2,"Q * gaze",2662.51744249726,1057.28001453398,83,2763.78164492575,116.051558397212,2778.56900089447,2546.46588410005
2,"Q + gaze",2662.51744249726,1057.28001453398,83,2538.07929631319,116.051558397212,2778.56900089447,2546.46588410005
2,"softmax(Q)",2662.51744249726,1057.28001453398,83,2471.89569314914,116.051558397212,2778.56900089447,2546.46588410005
2,"softmax(Q * gaze)",2662.51744249726,1057.28001453398,83,2684.72678737981,116.051558397212,2778.56900089447,2546.46588410005
2,"softmax(Q) * gaze",2662.51744249726,1057.28001453398,83,2794.20328773395,116.051558397212,2778.56900089447,2546.46588410005
2,"softmax(Q) + gaze",2662.51744249726,1057.28001453398,83,2537.63120337912,116.051558397212,2778.56900089447,2546.46588410005
3,"Q",2608.78223256663,1125.44600629547,83,2504.40778215547,123.533748039374,2732.315980606,2485.24848452726
3,"Q * gaze",2608.78223256663,1125.44600629547,83,2729.11944578118,123.533748039374,2732.315980606,2485.24848452726
3,"Q + gaze",2608.78223256663,1125.44600629547,83,2537.80134282162,123.533748039374,2732.315980606,2485.24848452726
3,"softmax(Q)",2608.78223256663,1125.44600629547,83,2438.88157907876,123.533748039374,2732.315980606,2485.24848452726
3,"softmax(Q * gaze)",2608.78223256663,1125.44600629547,83,2587.92301155591,123.533748039374,2732.315980606,2485.24848452726
3,"softmax(Q) * gaze",2608.78223256663,1125.44600629547,83,2683.54263955109,123.533748039374,2732.315980606,2485.24848452726
3,"softmax(Q) + gaze",2608.78223256663,1125.44600629547,83,2494.73351166378,123.533748039374,2732.315980606,2485.24848452726
4,"Q",2498.51379491994,995.845034777725,83,2471.1477974296,109.308193306784,2607.82198822672,2389.20560161316
4,"Q * gaze",2498.51379491994,995.845034777725,83,2507.25447537868,109.308193306784,2607.82198822672,2389.20560161316
4,"Q + gaze",2498.51379491994,995.845034777725,83,2442.37667767123,109.308193306784,2607.82198822672,2389.20560161316
4,"softmax(Q)",2498.51379491994,995.845034777725,83,2436.68180016172,109.308193306784,2607.82198822672,2389.20560161316
4,"softmax(Q * gaze)",2498.51379491994,995.845034777725,83,2482.19501236797,109.308193306784,2607.82198822672,2389.20560161316
4,"softmax(Q) * gaze",2498.51379491994,995.845034777725,83,2448.19119387514,109.308193306784,2607.82198822672,2389.20560161316
4,"softmax(Q) + gaze",2498.51379491994,995.845034777725,83,2399.93403158857,109.308193306784,2607.82198822672,2389.20560161316
5,"Q",2189.01255047463,1020.11984665072,83,2413.9322104805,111.972700068413,2300.98525054304,2077.03985040621
5,"Q * gaze",2189.01255047463,1020.11984665072,83,2110.67688844004,111.972700068413,2300.98525054304,2077.03985040621
5,"Q + gaze",2189.01255047463,1020.11984665072,83,2261.05010200274,111.972700068413,2300.98525054304,2077.03985040621
5,"softmax(Q)",2189.01255047463,1020.11984665072,83,2407.85445427821,111.972700068413,2300.98525054304,2077.03985040621
5,"softmax(Q * gaze)",2189.01255047463,1020.11984665072,83,2469.37954798185,111.972700068413,2300.98525054304,2077.03985040621
5,"softmax(Q) * gaze",2189.01255047463,1020.11984665072,83,2052.65500767445,111.972700068413,2300.98525054304,2077.03985040621
5,"softmax(Q) + gaze",2189.01255047463,1020.11984665072,83,2221.79609627205,111.972700068413,2300.98525054304,2077.03985040621
