"subject","mean_RT","model","fit"
1,1728.80483333333,"Q",1726.80837646132
1,1728.80483333333,"Q * gaze",1832.91822849756
1,1728.80483333333,"Q + gaze",1714.88841042774
1,1728.80483333333,"softmax(Q)",1737.82809610168
1,1728.80483333333,"softmax(Q * gaze)",1696.00858989648
1,1728.80483333333,"softmax(Q) * gaze",1837.30006286301
1,1728.80483333333,"softmax(Q) + gaze",1720.49328398239
1,1728.80483333333,"softmax(Q + gaze)",1711.03179265953
2,2163.73716666667,"Q",2062.12005780722
2,2163.73716666667,"Q * gaze",2182.28244950378
2,2163.73716666667,"Q + gaze",2128.83154827823
2,2163.73716666667,"softmax(Q)",2060.00677547388
2,2163.73716666667,"softmax(Q * gaze)",2075.08844837253
2,2163.73716666667,"softmax(Q) * gaze",2189.06614059711
2,2163.73716666667,"softmax(Q) + gaze",2127.34409099801
2,2163.73716666667,"softmax(Q + gaze)",2062.9117971026
3,2533.54216666667,"Q",2568.79163993614
3,2533.54216666667,"Q * gaze",2694.36469769999
3,2533.54216666667,"Q + gaze",2525.76559162712
3,2533.54216666667,"softmax(Q)",2548.16247935904
3,2533.54216666667,"softmax(Q * gaze)",2503.90970507851
3,2533.54216666667,"softmax(Q) * gaze",2643.28962035896
3,2533.54216666667,"softmax(Q) + gaze",2464.15842826833
3,2533.54216666667,"softmax(Q + gaze)",2489.75912492652
4,1457.24116666667,"Q",1452.71365591934
4,1457.24116666667,"Q * gaze",1507.53504693437
4,1457.24116666667,"Q + gaze",1464.32714777855
4,1457.24116666667,"softmax(Q)",1454.77638686377
4,1457.24116666667,"softmax(Q * gaze)",1439.17754806919
4,1457.24116666667,"softmax(Q) * gaze",1512.4094902051
4,1457.24116666667,"softmax(Q) + gaze",1472.27615282324
4,1457.24116666667,"softmax(Q + gaze)",1431.63722026041
5,2732.72683333333,"Q",2769.11196863638
5,2732.72683333333,"Q * gaze",2796.93885119771
5,2732.72683333333,"Q + gaze",2755.70800122699
5,2732.72683333333,"softmax(Q)",2753.11068777889
5,2732.72683333333,"softmax(Q * gaze)",2717.44705282954
5,2732.72683333333,"softmax(Q) * gaze",2786.55546114795
5,2732.72683333333,"softmax(Q) + gaze",2721.95696216664
5,2732.72683333333,"softmax(Q + gaze)",2739.32948041625
6,2220.27983333333,"Q",2232.59294706975
6,2220.27983333333,"Q * gaze",2251.97171137804
6,2220.27983333333,"Q + gaze",2232.88641323909
6,2220.27983333333,"softmax(Q)",2236.2526679692
6,2220.27983333333,"softmax(Q * gaze)",2243.07905162206
6,2220.27983333333,"softmax(Q) * gaze",2235.1572319513
6,2220.27983333333,"softmax(Q) + gaze",2230.38215815659
6,2220.27983333333,"softmax(Q + gaze)",2236.4305787865
7,2373.0865,"Q",2326.96781359949
