"trial_number","mean_RT","sd_RT","n","se","upper","lower","model","fit"
1,2550.82385542169,1701.87798036559,83,186.805377107577,2737.62923252926,2364.01847831411,"Q",2516.38691707368
1,2550.82385542169,1701.87798036559,83,186.805377107577,2737.62923252926,2364.01847831411,"Q * gaze",2675.14340761547
1,2550.82385542169,1701.87798036559,83,186.805377107577,2737.62923252926,2364.01847831411,"Q + gaze",2562.23783907465
1,2550.82385542169,1701.87798036559,83,186.805377107577,2737.62923252926,2364.01847831411,"softmax(Q)",2662.01239300943
1,2550.82385542169,1701.87798036559,83,186.805377107577,2737.62923252926,2364.01847831411,"softmax(Q * gaze)",2464.16761695115
1,2550.82385542169,1701.87798036559,83,186.805377107577,2737.62923252926,2364.01847831411,"softmax(Q) * gaze",2823.12363167099
1,2550.82385542169,1701.87798036559,83,186.805377107577,2737.62923252926,2364.01847831411,"softmax(Q) + gaze",2648.12774549824
1,2550.82385542169,1701.87798036559,83,186.805377107577,2737.62923252926,2364.01847831411,"softmax(Q + gaze)",2572.49251947191
2,2681.68426829268,1394.54332297597,82,154.001547333724,2835.68581562641,2527.68272095896,"Q",2560.99336636912
2,2681.68426829268,1394.54332297597,82,154.001547333724,2835.68581562641,2527.68272095896,"Q * gaze",2671.19580001931
2,2681.68426829268,1394.54332297597,82,154.001547333724,2835.68581562641,2527.68272095896,"Q + gaze",2498.70888021406
2,2681.68426829268,1394.54332297597,82,154.001547333724,2835.68581562641,2527.68272095896,"softmax(Q)",2663.57025691019
2,2681.68426829268,1394.54332297597,82,154.001547333724,2835.68581562641,2527.68272095896,"softmax(Q * gaze)",2517.05711239447
2,2681.68426829268,1394.54332297597,82,154.001547333724,2835.68581562641,2527.68272095896,"softmax(Q) * gaze",2788.6416806745
2,2681.68426829268,1394.54332297597,82,154.001547333724,2835.68581562641,2527.68272095896,"softmax(Q) + gaze",2592.31697474101
2,2681.68426829268,1394.54332297597,82,154.001547333724,2835.68581562641,2527.68272095896,"softmax(Q + gaze)",2589.51266614528
3,2650.16913580247,1490.36722441333,81,165.596358268148,2815.76549407062,2484.57277753432,"Q",2533.92979428908
3,2650.16913580247,1490.36722441333,81,165.596358268148,2815.76549407062,2484.57277753432,"Q * gaze",2713.44897375022
3,2650.16913580247,1490.36722441333,81,165.596358268148,2815.76549407062,2484.57277753432,"Q + gaze",2526.08074720241
3,2650.16913580247,1490.36722441333,81,165.596358268148,2815.76549407062,2484.57277753432,"softmax(Q)",2649.9738995972
3,2650.16913580247,1490.36722441333,81,165.596358268148,2815.76549407062,2484.57277753432,"softmax(Q * gaze)",2516.06900580745
