"subject","slope","model","fit"
1,-13.6642308974715,"Q",-2.21895909258449
1,-13.6642308974715,"Q * gaze",0.02295332316268
1,-13.6642308974715,"Q + gaze",-1.104678128985
1,-13.6642308974715,"softmax(Q)",-10.8194572584569
1,-13.6642308974715,"softmax(Q * gaze)",-0.809417476337437
1,-13.6642308974715,"softmax(Q) * gaze",-8.3282428456035
1,-13.6642308974715,"softmax(Q) + gaze",-6.06077798256198
2,-43.4258924701306,"Q",-0.0440324716769843
2,-43.4258924701306,"Q * gaze",-2.99588901915859
2,-43.4258924701306,"Q + gaze",-2.29621033661352
2,-43.4258924701306,"softmax(Q)",-1.36214460849654
2,-43.4258924701306,"softmax(Q * gaze)",0.951499218041125
2,-43.4258924701306,"softmax(Q) * gaze",-1.10224849699462
2,-43.4258924701306,"softmax(Q) + gaze",0.0582196070055621
3,-9.78385968324533,"Q",-5.47172003008276
3,-9.78385968324533,"Q * gaze",2.99418446574852
3,-9.78385968324533,"Q + gaze",-1.82275350965323
3,-9.78385968324533,"softmax(Q)",-15.3689408039171
3,-9.78385968324533,"softmax(Q * gaze)",-1.59654910448761
3,-9.78385968324533,"softmax(Q) * gaze",-3.28761181443002
3,-9.78385968324533,"softmax(Q) + gaze",-6.8564723690918
4,7.30283328702418,"Q",-0.751048768235639
4,7.30283328702418,"Q * gaze",0.338367703413043
4,7.30283328702418,"Q + gaze",0.0162033997364276
4,7.30283328702418,"softmax(Q)",0.855484060219641
4,7.30283328702418,"softmax(Q * gaze)",2.17225247151217
4,7.30283328702418,"softmax(Q) * gaze",-0.0181760403766756
4,7.30283328702418,"softmax(Q) + gaze",0.579996930930469
5,3.93851986662962,"Q",0.539334639112356
5,3.93851986662962,"Q * gaze",0.784273687749699
5,3.93851986662962,"Q + gaze",-0.879502071092598
5,3.93851986662962,"softmax(Q)",-2.13513544457061
5,3.93851986662962,"softmax(Q * gaze)",0.742692973973075
5,3.93851986662962,"softmax(Q) * gaze",-5.62030249849141
5,3.93851986662962,"softmax(Q) + gaze",-1.18474853550064
6,23.4894595721034,"Q",-0.465999287277051
6,23.4894595721034,"Q * gaze",0.664710968359623
6,23.4894595721034,"Q + gaze",1.2585740066983
6,23.4894595721034,"softmax(Q)",-1.38342896955936
6,23.4894595721034,"softmax(Q * gaze)",1.65375603208088
6,23.4894595721034,"softmax(Q) * gaze",0.827047232126252
6,23.4894595721034,"softmax(Q) + gaze",0.892017165660904
7,5.96234592942484,"Q",1.06653060038124
7,5.96234592942484,"Q * gaze",0.0109288721304416
7,5.96234592942484,"Q + gaze",0.138203077363785
7,5.96234592942484,"softmax(Q)",-0.654872642869415
7,5.96234592942484,"softmax(Q * gaze)",0.0649982589088198
7,5.96234592942484,"softmax(Q) * gaze",-1.06406751563978
7,5.96234592942484,"softmax(Q) + gaze",-1.90475002194626
8,-1.15952320088913,"Q",0.719804942140025
8,-1.15952320088913,"Q * gaze",1.28699687487812
8,-1.15952320088913,"Q + gaze",1.37493627046795
8,-1.15952320088913,"softmax(Q)",-4.92543328605855
8,-1.15952320088913,"softmax(Q * gaze)",2.38990644218016
8,-1.15952320088913,"softmax(Q) * gaze",-0.281180714592283
8,-1.15952320088913,"softmax(Q) + gaze",-1.30606504091381
9,-40.0228860794665,"Q",1.75669289289359
9,-40.0228860794665,"Q * gaze",-9.055505364916
9,-40.0228860794665,"Q + gaze",-2.27244266869177
9,-40.0228860794665,"softmax(Q)",-8.52810516183184
9,-40.0228860794665,"softmax(Q * gaze)",-3.35502353023061
9,-40.0228860794665,"softmax(Q) * gaze",-20.755539501599
9,-40.0228860794665,"softmax(Q) + gaze",-8.78005363113581
10,-1.96018227285357,"Q",0.0591653722707064
10,-1.96018227285357,"Q * gaze",-4.96009783325288
10,-1.96018227285357,"Q + gaze",-2.17601050625167
10,-1.96018227285357,"softmax(Q)",-9.18465818190612
10,-1.96018227285357,"softmax(Q * gaze)",-1.83995086293207
