"","(Intercept)","trial_number_z","ev_difference_z","gaze_diff_z","OEV_z","trial_number_z:ev_difference_z","trial_number_z:gaze_diff_z","trial_number_z:OEV_z"
"1",7.37187112240308,-0.146450941661414,-0.0453593743897509,-0.0690553789475775,-0.0908242901600226,-0.00889141111356841,-0.00968843753849778,-0.0207540181814699
"2",7.49909373230284,-0.339025473302493,-0.00375346188125786,0.016209437293017,-0.0111839540504941,-0.00889141111356841,-0.00968843753849778,0.00711727649681502
"3",7.77544127247781,-0.0631205406873108,-0.065078446574336,-0.0625842631506252,-0.0896835422552343,-0.00889141111356841,-0.00968843753849778,-0.0230860790109344
"4",7.26540313775373,0.0808434836069454,-0.0324070315187039,-0.0290563097365355,0.0148481336934466,-0.00889141111356841,-0.00968843753849778,-0.022799865275584
"5",7.83702187886483,0.0210278407488071,-0.0586498267573667,-0.0239396180045912,0.0163573863384884,-0.00889141111356841,-0.00968843753849778,-0.01381598794336
"6",7.66324184478039,0.150971999497573,-0.0070268124293342,-0.0292092585114788,-0.0477824916725919,-0.00889141111356841,-0.00968843753849778,-0.0149287546225407
"7",7.68829420642486,0.0755209359538758,-0.0749936035250979,-0.0207587254900636,-0.054685372652998,-0.00889141111356841,-0.00968843753849778,-0.0189138913620759
"8",7.7950062711219,-0.0246659525794956,-0.0460501040018447,-0.0626623859542264,-0.0834675354777304,-0.00889141111356841,-0.00968843753849778,-0.0221698837537545
"9",7.4484796859559,-0.264605411274636,-0.0486600036082731,-0.0224913732255759,-0.110326692225702,-0.00889141111356841,-0.00968843753849778,-0.0065019707968124
"10",7.77008276919789,-0.0440792843471738,-0.106281470100641,-0.0641481186744625,-0.0037127925059271,-0.00889141111356841,-0.00968843753849778,-0.0108164775152993
"11",8.07398422163446,-0.0911500172079473,-0.0303427851914512,-0.0625115731357716,-0.0354289555397675,-0.00889141111356841,-0.00968843753849778,-0.0155244437543766
"12",7.71782173412926,-0.0485788176944149,-0.0500142632981108,-0.042561820243582,-0.0438912581570249,-0.00889141111356841,-0.00968843753849778,-0.0228618301938758
"13",7.49936621251145,-0.0226717844391587,-0.0472365714474485,-0.00241533622870889,-0.015575256703946,-0.00889141111356841,-0.00968843753849778,-0.028634993341758
