"subject","trial_number","context","available_option_1","available_option_2","LEFT_INDEX","UP_INDEX","RIGHT_INDEX","DOWN_INDEX","CHOICE_KEY","RT","Left_Outcome","Up_Outcome","Right_Outcome","Down_Outcome","Points","chosen_option","EV_1","EV_2","correct_option","correct","option_1","option_2","option_3","option_4","avail_1","avail_2","choice","choice_id","outcome_1","outcome_2","outcome_3","outcome_4","pre_fix_1","pre_fix_2","pre_fix_3","pre_fix_4","pre_fix_avail_1","pre_fix_avail_2","post_fix_1","post_fix_2","post_fix_3","post_fix_4"
1,1,"PSC",2,3,0,1,2,3,"Right",1036.81,21,19,48,26,48,2,47,30,2,1,5,6,7,8,7,8,7,1,21,19,48,26,0.200873362445415,0,0.799126637554585,0,0.799126637554585,0,0,0.236559139784946,0.447516641065028,0.315924219150026
1,2,"PSC",0,2,2,1,0,3,"Left",1365.31,46,27,21,34,94,2,20,47,2,1,5,6,7,8,5,7,7,2,21,27,46,34,0.465174129353234,0.111940298507463,0.422885572139303,0,0.465174129353234,0.422885572139303,0.317460317460317,0,0.482539682539683,0.2
1,3,"PSC",0,1,1,0,3,2,"Left",1246.74,25,19,31,46,119,1,20,23,1,1,5,6,7,8,5,6,6,2,19,25,46,31,0.334398296059638,0.665601703940362,0,0,0.334398296059638,0.665601703940362,0.0764861794774707,0.305187429004165,0.560772434683832,0.0575539568345324
1,4,"PSC",0,2,0,1,2,3,"Right",1409.53,24,20,45,31,164,2,20,47,2,1,5,6,7,8,5,7,7,2,24,20,45,31,0.207329842931937,0.127748691099476,0.664921465968586,0,0.207329842931937,0.664921465968586,0.0607876712328767,0.0710616438356164,0.845890410958904,0.0222602739726027
1,5,"PSC",0,1,0,2,3,1,"Down",1615.89,19,47,27,25,189,1,20,23,1,1,5,6,7,8,5,6,6,2,19,25,47,27,0.329795918367347,0.670204081632653,0,0,0.329795918367347,0.670204081632653,0.13103953147877,0.0790629575402635,0.538799414348463,0.251098096632504
1,6,"PSC",1,3,2,0,3,1,"Down",1863.81,45,21,31,22,211,1,23,30,3,0,5,6,7,8,6,8,6,1,21,22,45,31,0.115353371242892,0.532087733549959,0,0.352558895207149,0.532087733549959,0.352558895207149,0.264600529512537,0.156050459429995,0.263510356642268,0.3158386544152
1,7,"PSC",2,3,0,3,2,1,"Right",1942.42,15,30,47,25,258,2,47,30,2,1,5,6,7,8,7,8,7,1,15,25,47,30,0.109215017064846,0,0.666894197952218,0.223890784982935,0.666894197952218,0.223890784982935,0.29368029739777,0.0743494423791822,0.353159851301115,0.278810408921933
1,8,"PSC",2,3,0,3,2,1,"Right",1261.67,21,27,50,28,308,2,47,30,2,1,5,6,7,8,7,8,7,1,21,28,50,27,0,0,0.669703872437358,0.330296127562642,0.669703872437358,0.330296127562642,0.237687366167024,0,0.449678800856531,0.312633832976445
1,9,"NSC",1,2,0,2,3,1,"Down",3024.33,10,39,33,40,348,1,37,40,2,0,1,2,3,4,2,3,2,1,10,40,39,33,0.19047619047619,0.206686930091185,0.391084093211753,0.211752786220871,0.206686930091185,0.391084093211753,0.232270347453594,0.19990480723465,0.318895763921942,0.248929081389814
1,10,"NSC",1,2,2,1,3,0,"Up",1711.35,42,36,32,11,384,1,37,40,2,0,1,2,3,4,2,3,2,1,11,36,42,32,0,0.725274725274725,0.274725274725275,0,0.725274725274725,0.274725274725275,0.372951669778054,0.180460485376478,0.109520846297449,0.337066998548019
1,11,"PSC",0,3,2,0,1,3,"Down",2617.08,47,21,24,29,413,3,20,30,3,1,5,6,7,8,5,8,8,2,21,24,47,29,0.609819121447028,0,0,0.390180878552972,0.609819121447028,0.390180878552972,0.311099531005732,0.0927566440854612,0.222511724856696,0.37363210005211
1,12,"NSC",0,1,0,2,1,3,"Right",2854.77,14,42,37,31,450,1,13,37,1,1,1,2,3,4,1,2,2,2,14,37,42,31,0.382608695652174,0.514009661835749,0,0.103381642512077,0.382608695652174,0.514009661835749,0.214532871972318,0.359861591695502,0.235294117647059,0.190311418685121
1,13,"NSC",1,3,3,1,0,2,"Up",2903.58,28,38,11,42,488,1,37,30,1,1,1,2,3,4,2,4,2,1,11,38,42,28,0,0.63396537510305,0,0.36603462489695,0.63396537510305,0.36603462489695,0,0.388520971302428,0.183222958057395,0.428256070640177
1,14,"PSC",1,3,1,3,0,2,"Left",3266.36,24,31,24,51,512,1,23,30,3,0,5,6,7,8,6,8,6,1,24,24,51,31,0,0.470414201183432,0,0.529585798816568,0.470414201183432,0.529585798816568,0,0.598455598455598,0,0.401544401544402
1,15,"PSC",0,3,3,1,2,0,"Left",2594.87,29,24,46,24,541,3,20,30,3,1,5,6,7,8,5,8,8,2,24,24,46,29,0.429768358797437,0.0413997042878265,0,0.528831936914736,0.429768358797437,0.528831936914736,0.0805725971370143,0.32719836400818,0.176687116564417,0.415541922290389
1,16,"PSC",1,3,1,0,2,3,"Down",2949.47,22,20,50,29,570,3,23,30,3,1,5,6,7,8,6,8,8,2,20,22,50,29,0,0.364694471387003,0,0.635305528612997,0.364694471387003,0.635305528612997,0.236818588025022,0.252606493893357,0.313970807268394,0.196604110813226
1,17,"NSC",0,1,1,3,2,0,"Down",3216.35,40,31,43,9,579,0,13,37,1,0,1,2,3,4,1,2,1,1,9,40,43,31,0.351782363977486,0.648217636022514,0,0,0.351782363977486,0.648217636022514,0.75609756097561,0.24390243902439,0,0
1,18,"PSC",1,2,0,1,3,2,"Down",1682.5,24,25,33,44,623,2,23,47,2,1,5,6,7,8,6,7,7,2,24,25,44,33,0.244206773618538,0,0.755793226381462,0,0,0.755793226381462,0.28421052631579,0.342105263157895,0.373684210526316,0
1,19,"PSC",1,2,0,2,3,1,"Up",1384.5,23,46,29,26,669,2,23,47,2,1,5,6,7,8,6,7,7,2,23,26,46,29,0.150579150579151,0.171814671814672,0.677606177606178,0,0.171814671814672,0.677606177606178,0,0.269430051813472,0.730569948186529,0
1,20,"NSC",0,2,2,0,1,3,"Left",1265.31,41,15,36,29,710,2,13,40,2,1,1,2,3,4,1,3,3,2,15,36,41,29,0.373860182370821,0,0.477203647416413,0.148936170212766,0.373860182370821,0.477203647416413,0,0,0.818652849740933,0.181347150259067
1,21,"PSC",0,1,0,1,2,3,"Up",2124.13,22,23,45,31,733,1,20,23,1,1,5,6,7,8,5,6,6,2,22,23,45,31,0.539661898569571,0.460338101430429,0,0,0.539661898569571,0.460338101430429,0.684039087947883,0.315960912052117,0,0
1,22,"NSC",1,2,1,0,3,2,"Down",1117.24,35,16,29,42,775,2,37,40,2,1,1,2,3,4,2,3,3,2,16,35,42,29,0,0.53822629969419,0.46177370030581,0,0.53822629969419,0.46177370030581,0,0,1,0
1,23,"PSC",0,3,0,2,1,3,"Down",1136.25,24,51,24,30,805,3,20,30,3,1,5,6,7,8,5,8,8,2,24,24,51,30,0.48062015503876,0,0,0.51937984496124,0.48062015503876,0.51937984496124,0.581699346405229,0,0,0.418300653594771
1,24,"NSC",1,3,1,3,2,0,"Up",1962.26,36,30,41,16,835,3,37,30,1,0,1,2,3,4,2,4,4,2,16,36,41,30,0,0.436046511627907,0,0.563953488372093,0.436046511627907,0.563953488372093,0,0.754128440366973,0,0.245871559633028
1,25,"NSC",0,1,2,1,0,3,"Up",1902.24,39,41,13,32,876,1,13,37,1,1,1,2,3,4,1,2,2,2,13,41,39,32,0.369774919614148,0.522508038585209,0.107717041800643,0,0.369774919614148,0.522508038585209,0.404692082111437,0.595307917888563,0,0
1,26,"NSC",2,3,1,3,2,0,"Right",816.15,36,26,40,11,916,2,40,30,2,1,1,2,3,4,3,4,3,1,11,36,40,26,0,0.250883392226148,0.749116607773852,0,0.749116607773852,0,0.227557411273486,0.164926931106472,0.607515657620042,0
1,27,"NSC",0,3,0,1,3,2,"Left",2694.11,11,37,32,37,927,0,13,30,3,0,1,2,3,4,1,4,1,1,11,37,37,32,0.43859649122807,0.124946512623021,0,0.436456996148909,0.43859649122807,0.436456996148909,0.329166666666667,0,0,0.670833333333333
1,28,"NSC",2,3,1,0,3,2,"Down",2275.09,38,15,34,39,966,2,40,30,2,1,1,2,3,4,3,4,3,1,15,38,39,34,0,0.212862834376779,0.545816733067729,0.241320432555492,0.545816733067729,0.241320432555492,0.232198142414861,0,0.303405572755418,0.464396284829721
1,29,"PSC",1,3,2,0,1,3,"Down",3843.34,46,17,25,28,994,3,23,30,3,1,5,6,7,8,6,8,8,2,17,25,46,28,0,0.633281972265023,0,0.366718027734977,0.633281972265023,0.366718027734977,0,0.545454545454545,0,0.454545454545455
