"subject","acc","model","fit"
1,0.833333333333333,"Q",0.594583333333334
1,0.833333333333333,"Q * gaze",0.649166666666667
1,0.833333333333333,"Q + gaze",0.746166666666667
1,0.833333333333333,"softmax(Q)",0.766416666666667
1,0.833333333333333,"softmax(Q * gaze)",0.779833333333334
1,0.833333333333333,"softmax(Q) * gaze",0.77725
1,0.833333333333333,"softmax(Q) + gaze",0.79225
1,0.833333333333333,"softmax(Q + gaze)",0.78625
2,0.9,"Q",0.761499999999999
2,0.9,"Q * gaze",0.74775
2,0.9,"Q + gaze",0.7475
2,0.9,"softmax(Q)",0.860416666666667
2,0.9,"softmax(Q * gaze)",0.817833333333334
2,0.9,"softmax(Q) * gaze",0.837833333333333
2,0.9,"softmax(Q) + gaze",0.84525
2,0.9,"softmax(Q + gaze)",0.83125
3,0.65,"Q",0.678166666666665
3,0.65,"Q * gaze",0.563333333333334
3,0.65,"Q + gaze",0.671416666666667
3,0.65,"softmax(Q)",0.70625
3,0.65,"softmax(Q * gaze)",0.57725
3,0.65,"softmax(Q) * gaze",0.563833333333332
3,0.65,"softmax(Q) + gaze",0.710333333333333
3,0.65,"softmax(Q + gaze)",0.728166666666667
4,0.733333333333333,"Q",0.606833333333333
4,0.733333333333333,"Q * gaze",0.649833333333333
4,0.733333333333333,"Q + gaze",0.73725
4,0.733333333333333,"softmax(Q)",0.7455
4,0.733333333333333,"softmax(Q * gaze)",0.722416666666666
4,0.733333333333333,"softmax(Q) * gaze",0.699166666666667
4,0.733333333333333,"softmax(Q) + gaze",0.757833333333334
4,0.733333333333333,"softmax(Q + gaze)",0.746
6,0.925,"Q",0.819583333333333
6,0.925,"Q * gaze",0.821416666666667
6,0.925,"Q + gaze",0.826416666666667
6,0.925,"softmax(Q)",0.86575
6,0.925,"softmax(Q * gaze)",0.868583333333333
6,0.925,"softmax(Q) * gaze",0.854333333333334
6,0.925,"softmax(Q) + gaze",0.880833333333333
6,0.925,"softmax(Q + gaze)",0.886666666666667
7,0.891666666666667,"Q",0.838583333333334
7,0.891666666666667,"Q * gaze",0.6335
7,0.891666666666667,"Q + gaze",0.837
7,0.891666666666667,"softmax(Q)",0.88725
7,0.891666666666667,"softmax(Q * gaze)",0.6825
7,0.891666666666667,"softmax(Q) * gaze",0.666583333333334
7,0.891666666666667,"softmax(Q) + gaze",0.887916666666667
7,0.891666666666667,"softmax(Q + gaze)",0.8775
8,0.958333333333333,"Q",0.780166666666667
8,0.958333333333333,"Q * gaze",0.787666666666667
8,0.958333333333333,"Q + gaze",0.787166666666667
8,0.958333333333333,"softmax(Q)",0.869
8,0.958333333333333,"softmax(Q * gaze)",0.824749999999999
8,0.958333333333333,"softmax(Q) * gaze",0.859
8,0.958333333333333,"softmax(Q) + gaze",0.8835
8,0.958333333333333,"softmax(Q + gaze)",0.862083333333333
9,0.85,"Q",0.818666666666667
9,0.85,"Q * gaze",0.72575
9,0.85,"Q + gaze",0.7605
9,0.85,"softmax(Q)",0.837500000000001
9,0.85,"softmax(Q * gaze)",0.842833333333333
9,0.85,"softmax(Q) * gaze",0.832416666666666
9,0.85,"softmax(Q) + gaze",0.82175
9,0.85,"softmax(Q + gaze)",0.847833333333333
10,0.883333333333333,"Q",0.754083333333333
10,0.883333333333333,"Q * gaze",0.633166666666667
10,0.883333333333333,"Q + gaze",0.761916666666667
10,0.883333333333333,"softmax(Q)",0.85325
10,0.883333333333333,"softmax(Q * gaze)",0.631916666666667
10,0.883333333333333,"softmax(Q) * gaze",0.676166666666666
10,0.883333333333333,"softmax(Q) + gaze",0.849999999999999
10,0.883333333333333,"softmax(Q + gaze)",0.826833333333334
11,0.508333333333333,"Q",0.501083333333333
11,0.508333333333333,"Q * gaze",0.51325
11,0.508333333333333,"Q + gaze",0.507083333333336
11,0.508333333333333,"softmax(Q)",0.51225
11,0.508333333333333,"softmax(Q * gaze)",0.510666666666667
11,0.508333333333333,"softmax(Q) * gaze",0.511166666666666
11,0.508333333333333,"softmax(Q) + gaze",0.5135
11,0.508333333333333,"softmax(Q + gaze)",0.518083333333333
12,0.925,"Q",0.820666666666666
12,0.925,"Q * gaze",0.729083333333333
12,0.925,"Q + gaze",0.816666666666667
12,0.925,"softmax(Q)",0.876583333333334
12,0.925,"softmax(Q * gaze)",0.767333333333333
12,0.925,"softmax(Q) * gaze",0.754999999999999
