"subject","mean_RT","model","fit"
1,1728.27425,"Q",1820.0879650823
1,1728.27425,"Q * gaze",1814.30178962811
1,1728.27425,"Q + gaze",1754.18236607
1,1728.27425,"softmax(Q)",1929.88625515722
1,1728.27425,"softmax(Q * gaze)",1912.22742718382
1,1728.27425,"softmax(Q) * gaze",1956.44776452222
1,1728.27425,"softmax(Q) + gaze",1797.21787783421
2,1620.93974789916,"Q",1664.7350564096
2,1620.93974789916,"Q * gaze",1668.40914522148
2,1620.93974789916,"Q + gaze",1627.70000580756
2,1620.93974789916,"softmax(Q)",1595.63774039882
2,1620.93974789916,"softmax(Q * gaze)",1666.13626330146
2,1620.93974789916,"softmax(Q) * gaze",1626.60564987406
2,1620.93974789916,"softmax(Q) + gaze",1587.42742690397
3,932.467142857143,"Q",1066.49079170185
3,932.467142857143,"Q * gaze",1331.40663096212
3,932.467142857143,"Q + gaze",1064.32374426287
3,932.467142857143,"softmax(Q)",1073.69623107293
3,932.467142857143,"softmax(Q * gaze)",1158.51828086469
3,932.467142857143,"softmax(Q) * gaze",1335.90091451243
3,932.467142857143,"softmax(Q) + gaze",1088.12633817587
4,1386.50866666667,"Q",1503.07997105914
4,1386.50866666667,"Q * gaze",1578.04178325656
4,1386.50866666667,"Q + gaze",1478.3826307604
4,1386.50866666667,"softmax(Q)",1498.53453802241
4,1386.50866666667,"softmax(Q * gaze)",1590.94453986405
4,1386.50866666667,"softmax(Q) * gaze",1596.80852880484
4,1386.50866666667,"softmax(Q) + gaze",1479.45195940806
6,1590.24,"Q",1635.27608383481
6,1590.24,"Q * gaze",1619.09800727596
6,1590.24,"Q + gaze",1564.20027369984
6,1590.24,"softmax(Q)",1576.84783453405
6,1590.24,"softmax(Q * gaze)",1638.8023490947
6,1590.24,"softmax(Q) * gaze",1658.37793560697
6,1590.24,"softmax(Q) + gaze",1560.92624115223
7,753.189833333333,"Q",724.370762880578
7,753.189833333333,"Q * gaze",912.950827114221
7,753.189833333333,"Q + gaze",720.845693108038
7,753.189833333333,"softmax(Q)",706.793563725806
7,753.189833333333,"softmax(Q * gaze)",769.886335924481
7,753.189833333333,"softmax(Q) * gaze",903.972943308668
7,753.189833333333,"softmax(Q) + gaze",705.036090082928
8,1333.11425,"Q",1364.52712403962
8,1333.11425,"Q * gaze",1297.51353608357
8,1333.11425,"Q + gaze",1298.53196185154
