"trial_number","mean_RT","sd_RT","n","se","upper","lower","model","fit"
1,3107.87833333333,1868.57445796947,48,269.705491577383,3377.58382491072,2838.17284175595,"Q",1454.43461387808
1,3107.87833333333,1868.57445796947,48,269.705491577383,3377.58382491072,2838.17284175595,"Q * gaze",1515.61935638618
1,3107.87833333333,1868.57445796947,48,269.705491577383,3377.58382491072,2838.17284175595,"Q + gaze",1404.01858919438
1,3107.87833333333,1868.57445796947,48,269.705491577383,3377.58382491072,2838.17284175595,"softmax(Q)",1515.46030232683
1,3107.87833333333,1868.57445796947,48,269.705491577383,3377.58382491072,2838.17284175595,"softmax(Q * gaze)",1438.98091540857
1,3107.87833333333,1868.57445796947,48,269.705491577383,3377.58382491072,2838.17284175595,"softmax(Q) * gaze",1592.33267226176
1,3107.87833333333,1868.57445796947,48,269.705491577383,3377.58382491072,2838.17284175595,"softmax(Q) + gaze",1487.90568314717
1,3107.87833333333,1868.57445796947,48,269.705491577383,3377.58382491072,2838.17284175595,"softmax(Q + gaze)",1494.72412472888
2,2459.75530612245,1580.64899720429,49,225.806999600613,2685.56230572306,2233.94830652184,"Q",1419.44767927565
2,2459.75530612245,1580.64899720429,49,225.806999600613,2685.56230572306,2233.94830652184,"Q * gaze",1481.07649029867
2,2459.75530612245,1580.64899720429,49,225.806999600613,2685.56230572306,2233.94830652184,"Q + gaze",1392.62533442428
2,2459.75530612245,1580.64899720429,49,225.806999600613,2685.56230572306,2233.94830652184,"softmax(Q)",1517.35097082543
2,2459.75530612245,1580.64899720429,49,225.806999600613,2685.56230572306,2233.94830652184,"softmax(Q * gaze)",1371.34471922146
2,2459.75530612245,1580.64899720429,49,225.806999600613,2685.56230572306,2233.94830652184,"softmax(Q) * gaze",1563.1591008549
2,2459.75530612245,1580.64899720429,49,225.806999600613,2685.56230572306,2233.94830652184,"softmax(Q) + gaze",1463.25265627624
2,2459.75530612245,1580.64899720429,49,225.806999600613,2685.56230572306,2233.94830652184,"softmax(Q + gaze)",1433.21267210352
3,2380.8896,1409.23736071412,50,199.296258812477,2580.18585881248,2181.59334118752,"Q",1418.65066189609
3,2380.8896,1409.23736071412,50,199.296258812477,2580.18585881248,2181.59334118752,"Q * gaze",1484.09570857477
3,2380.8896,1409.23736071412,50,199.296258812477,2580.18585881248,2181.59334118752,"Q + gaze",1380.13295269042
3,2380.8896,1409.23736071412,50,199.296258812477,2580.18585881248,2181.59334118752,"softmax(Q)",1485.8680429453
3,2380.8896,1409.23736071412,50,199.296258812477,2580.18585881248,2181.59334118752,"softmax(Q * gaze)",1373.57499612122
3,2380.8896,1409.23736071412,50,199.296258812477,2580.18585881248,2181.59334118752,"softmax(Q) * gaze",1588.7951984921
3,2380.8896,1409.23736071412,50,199.296258812477,2580.18585881248,2181.59334118752,"softmax(Q) + gaze",1446.99977985499
3,2380.8896,1409.23736071412,50,199.296258812477,2580.18585881248,2181.59334118752,"softmax(Q + gaze)",1454.58023628199
4,2242.06,1176.68330603969,49,168.097615148527,2410.15761514853,2073.96238485147,"Q",1386.97979477421
4,2242.06,1176.68330603969,49,168.097615148527,2410.15761514853,2073.96238485147,"Q * gaze",1485.86651462558
4,2242.06,1176.68330603969,49,168.097615148527,2410.15761514853,2073.96238485147,"Q + gaze",1407.41562657192
4,2242.06,1176.68330603969,49,168.097615148527,2410.15761514853,2073.96238485147,"softmax(Q)",1493.99294973895
4,2242.06,1176.68330603969,49,168.097615148527,2410.15761514853,2073.96238485147,"softmax(Q * gaze)",1395.25301560758
4,2242.06,1176.68330603969,49,168.097615148527,2410.15761514853,2073.96238485147,"softmax(Q) * gaze",1600.54409263523
4,2242.06,1176.68330603969,49,168.097615148527,2410.15761514853,2073.96238485147,"softmax(Q) + gaze",1465.27246832686
4,2242.06,1176.68330603969,49,168.097615148527,2410.15761514853,2073.96238485147,"softmax(Q + gaze)",1486.29435949708
5,2061.63551020408,1079.02309662695,49,154.146156660993,2215.78166686507,1907.48935354309,"Q",1405.15402210213
5,2061.63551020408,1079.02309662695,49,154.146156660993,2215.78166686507,1907.48935354309,"Q * gaze",1432.02528408994
5,2061.63551020408,1079.02309662695,49,154.146156660993,2215.78166686507,1907.48935354309,"Q + gaze",1363.53228648306
5,2061.63551020408,1079.02309662695,49,154.146156660993,2215.78166686507,1907.48935354309,"softmax(Q)",1492.20261164551
5,2061.63551020408,1079.02309662695,49,154.146156660993,2215.78166686507,1907.48935354309,"softmax(Q * gaze)",1375.14220935013
5,2061.63551020408,1079.02309662695,49,154.146156660993,2215.78166686507,1907.48935354309,"softmax(Q) * gaze",1510.8499990737
5,2061.63551020408,1079.02309662695,49,154.146156660993,2215.78166686507,1907.48935354309,"softmax(Q) + gaze",1448.88538029067
5,2061.63551020408,1079.02309662695,49,154.146156660993,2215.78166686507,1907.48935354309,"softmax(Q + gaze)",1457.3237492191
6,2111.645,1121.7634646072,50,158.641310542214,2270.28631054221,1953.00368945779,"Q",1427.23277548604
6,2111.645,1121.7634646072,50,158.641310542214,2270.28631054221,1953.00368945779,"Q * gaze",1516.92179753004
6,2111.645,1121.7634646072,50,158.641310542214,2270.28631054221,1953.00368945779,"Q + gaze",1416.22473943651
6,2111.645,1121.7634646072,50,158.641310542214,2270.28631054221,1953.00368945779,"softmax(Q)",1480.4247851449
6,2111.645,1121.7634646072,50,158.641310542214,2270.28631054221,1953.00368945779,"softmax(Q * gaze)",1380.02851526742
6,2111.645,1121.7634646072,50,158.641310542214,2270.28631054221,1953.00368945779,"softmax(Q) * gaze",1585.04392932665
6,2111.645,1121.7634646072,50,158.641310542214,2270.28631054221,1953.00368945779,"softmax(Q) + gaze",1467.73256620544
6,2111.645,1121.7634646072,50,158.641310542214,2270.28631054221,1953.00368945779,"softmax(Q + gaze)",1452.59674708344
7,2162.0182,1516.30258621625,50,214.437568208842,2376.45576820884,1947.58063179116,"Q",1411.09622681173
7,2162.0182,1516.30258621625,50,214.437568208842,2376.45576820884,1947.58063179116,"Q * gaze",1484.64634359124
7,2162.0182,1516.30258621625,50,214.437568208842,2376.45576820884,1947.58063179116,"Q + gaze",1365.31338148659
7,2162.0182,1516.30258621625,50,214.437568208842,2376.45576820884,1947.58063179116,"softmax(Q)",1463.06949629726
7,2162.0182,1516.30258621625,50,214.437568208842,2376.45576820884,1947.58063179116,"softmax(Q * gaze)",1376.12097754605
7,2162.0182,1516.30258621625,50,214.437568208842,2376.45576820884,1947.58063179116,"softmax(Q) * gaze",1520.6037113334
7,2162.0182,1516.30258621625,50,214.437568208842,2376.45576820884,1947.58063179116,"softmax(Q) + gaze",1420.65783075994
7,2162.0182,1516.30258621625,50,214.437568208842,2376.45576820884,1947.58063179116,"softmax(Q + gaze)",1418.51725968284
8,1895.6526,991.721528322341,50,140.250603545083,2035.90320354508,1755.40199645492,"Q",1406.03156604079
8,1895.6526,991.721528322341,50,140.250603545083,2035.90320354508,1755.40199645492,"Q * gaze",1462.74766324796
8,1895.6526,991.721528322341,50,140.250603545083,2035.90320354508,1755.40199645492,"Q + gaze",1338.57012181985
8,1895.6526,991.721528322341,50,140.250603545083,2035.90320354508,1755.40199645492,"softmax(Q)",1449.29116714653
8,1895.6526,991.721528322341,50,140.250603545083,2035.90320354508,1755.40199645492,"softmax(Q * gaze)",1377.93473101117
8,1895.6526,991.721528322341,50,140.250603545083,2035.90320354508,1755.40199645492,"softmax(Q) * gaze",1491.00525537275
8,1895.6526,991.721528322341,50,140.250603545083,2035.90320354508,1755.40199645492,"softmax(Q) + gaze",1420.65903373199
8,1895.6526,991.721528322341,50,140.250603545083,2035.90320354508,1755.40199645492,"softmax(Q + gaze)",1422.45105578655
9,1744.6358,854.929966316826,50,120.905355324443,1865.54115532444,1623.73044467556,"Q",1407.21980647856
9,1744.6358,854.929966316826,50,120.905355324443,1865.54115532444,1623.73044467556,"Q * gaze",1504.72081183998
9,1744.6358,854.929966316826,50,120.905355324443,1865.54115532444,1623.73044467556,"Q + gaze",1372.34955922741
9,1744.6358,854.929966316826,50,120.905355324443,1865.54115532444,1623.73044467556,"softmax(Q)",1447.14766970303
