"subject","slope","model","fit"
1,-8.65525616362248,"Q",-0.427203980041927
1,-8.65525616362248,"Q * gaze",-0.707877113611379
1,-8.65525616362248,"Q + gaze",-0.68834617250897
1,-8.65525616362248,"softmax(Q)",-0.417790867792814
1,-8.65525616362248,"softmax(Q * gaze)",0.344568454627751
1,-8.65525616362248,"softmax(Q) * gaze",-0.468339326660681
1,-8.65525616362248,"softmax(Q) + gaze",-0.270218253053435
2,-8.08919171770362,"Q",-0.952603069505782
2,-8.08919171770362,"Q * gaze",-1.63042834391896
2,-8.08919171770362,"Q + gaze",-0.976487539917788
2,-8.08919171770362,"softmax(Q)",-2.48277749323721
2,-8.08919171770362,"softmax(Q * gaze)",0.0671208415235206
2,-8.08919171770362,"softmax(Q) * gaze",-2.55850007221144
2,-8.08919171770362,"softmax(Q) + gaze",-1.851178996477
3,-2.47059852827229,"Q",-0.685675855502443
3,-2.47059852827229,"Q * gaze",0.471909247855078
3,-2.47059852827229,"Q + gaze",-0.431806416434918
3,-2.47059852827229,"softmax(Q)",-1.30355994669021
3,-2.47059852827229,"softmax(Q * gaze)",0.988952787631308
3,-2.47059852827229,"softmax(Q) * gaze",1.16233318618664
3,-2.47059852827229,"softmax(Q) + gaze",-1.83784741492301
4,-1.511021043128,"Q",-0.180399551817742
4,-1.511021043128,"Q * gaze",-0.873127840982727
4,-1.511021043128,"Q + gaze",-0.125725178262825
4,-1.511021043128,"softmax(Q)",-1.11413335117119
4,-1.511021043128,"softmax(Q * gaze)",0.16018488782714
4,-1.511021043128,"softmax(Q) * gaze",-1.11062282168192
4,-1.511021043128,"softmax(Q) + gaze",-0.0536157676697007
6,-3.67044850336829,"Q",-1.64615206935931
6,-3.67044850336829,"Q * gaze",-4.98430699028066
6,-3.67044850336829,"Q + gaze",-1.89624904430632
6,-3.67044850336829,"softmax(Q)",-3.59263314355258
6,-3.67044850336829,"softmax(Q * gaze)",-0.104139158061505
6,-3.67044850336829,"softmax(Q) * gaze",-6.65739460753047
6,-3.67044850336829,"softmax(Q) + gaze",-1.89792636016042
7,-4.61116626154594,"Q",-0.856018282860418
7,-4.61116626154594,"Q * gaze",1.49105382007314
7,-4.61116626154594,"Q + gaze",-0.946241139611263
7,-4.61116626154594,"softmax(Q)",-1.97031797661175
7,-4.61116626154594,"softmax(Q * gaze)",0.803559867007487
7,-4.61116626154594,"softmax(Q) * gaze",1.54883411808691
7,-4.61116626154594,"softmax(Q) + gaze",-1.80211254423581
8,-0.630783005764284,"Q",-1.10286269209077
8,-0.630783005764284,"Q * gaze",-1.79067591946394
8,-0.630783005764284,"Q + gaze",-1.61804398975237
8,-0.630783005764284,"softmax(Q)",-1.10734736004113
8,-0.630783005764284,"softmax(Q * gaze)",0.02064524611405
8,-0.630783005764284,"softmax(Q) * gaze",-2.27343299695156
8,-0.630783005764284,"softmax(Q) + gaze",-1.37176165675936
9,-9.58185689978471,"Q",-1.39729370180432
9,-9.58185689978471,"Q * gaze",-2.44095878873075
9,-9.58185689978471,"Q + gaze",-0.540253269928628
9,-9.58185689978471,"softmax(Q)",-3.7508166660736
9,-9.58185689978471,"softmax(Q * gaze)",-0.868765106299881
9,-9.58185689978471,"softmax(Q) * gaze",-4.28715757516332
9,-9.58185689978471,"softmax(Q) + gaze",-0.916796166965305
10,-19.6764299957271,"Q",0.480267782990943
10,-19.6764299957271,"Q * gaze",-0.219264031149369
10,-19.6764299957271,"Q + gaze",0.356345091697624
10,-19.6764299957271,"softmax(Q)",-2.50865442544527
10,-19.6764299957271,"softmax(Q * gaze)",-0.374035165814443
10,-19.6764299957271,"softmax(Q) * gaze",-1.56025186515954
10,-19.6764299957271,"softmax(Q) + gaze",-2.37432651901465
11,-6.01265525074185,"Q",0.138579999773622
11,-6.01265525074185,"Q * gaze",0.205358671988076
11,-6.01265525074185,"Q + gaze",0.0711084845224541
11,-6.01265525074185,"softmax(Q)",0.0895308148220555
11,-6.01265525074185,"softmax(Q * gaze)",-0.00122385280815361
