"trial_type","model","avg_mean_RT","sd_mean_RT","n","mean_fit","se","upper","lower"
"C","Q",1289.695595,502.932581201575,50,1288.28382355387,71.1254077294575,1360.82100272946,1218.57018727054
"C","Q * gaze",1289.695595,502.932581201575,50,1446.00298776388,71.1254077294575,1360.82100272946,1218.57018727054
"C","Q + gaze",1289.695595,502.932581201575,50,1306.30967281925,71.1254077294575,1360.82100272946,1218.57018727054
"C","softmax(Q)",1289.695595,502.932581201575,50,1224.83937722661,71.1254077294575,1360.82100272946,1218.57018727054
"C","softmax(Q * gaze)",1289.695595,502.932581201575,50,1291.91348276293,71.1254077294575,1360.82100272946,1218.57018727054
"C","softmax(Q) * gaze",1289.695595,502.932581201575,50,1443.01531444468,71.1254077294575,1360.82100272946,1218.57018727054
"C","softmax(Q) + gaze",1289.695595,502.932581201575,50,1263.63561786287,71.1254077294575,1360.82100272946,1218.57018727054
"C","softmax(Q + gaze)",1289.695595,502.932581201575,50,1239.22928950816,71.1254077294575,1360.82100272946,1218.57018727054
"N++","Q",1347.05874166667,542.015691181139,50,1048.07610404068,76.6525941487394,1423.71133581541,1270.40614751793
"N++","Q * gaze",1347.05874166667,542.015691181139,50,1219.18822651582,76.6525941487394,1423.71133581541,1270.40614751793
"N++","Q + gaze",1347.05874166667,542.015691181139,50,1098.22428009001,76.6525941487394,1423.71133581541,1270.40614751793
"N++","softmax(Q)",1347.05874166667,542.015691181139,50,1396.85054468734,76.6525941487394,1423.71133581541,1270.40614751793
"N++","softmax(Q * gaze)",1347.05874166667,542.015691181139,50,1330.30180197005,76.6525941487394,1423.71133581541,1270.40614751793
"N++","softmax(Q) * gaze",1347.05874166667,542.015691181139,50,1536.16457039694,76.6525941487394,1423.71133581541,1270.40614751793
"N++","softmax(Q) + gaze",1347.05874166667,542.015691181139,50,1383.74683499717,76.6525941487394,1423.71133581541,1270.40614751793
"N++","softmax(Q + gaze)",1347.05874166667,542.015691181139,50,1381.50624183188,76.6525941487394,1423.71133581541,1270.40614751793
"N--","Q",1586.739225,644.512928933168,50,2096.45506071895,91.1478925222093,1677.88711752221,1495.59133247779
"N--","Q * gaze",1586.739225,644.512928933168,50,1945.17602294825,91.1478925222093,1677.88711752221,1495.59133247779
"N--","Q + gaze",1586.739225,644.512928933168,50,1897.64062353397,91.1478925222093,1677.88711752221,1495.59133247779
"N--","softmax(Q)",1586.739225,644.512928933168,50,1403.05144154157,91.1478925222093,1677.88711752221,1495.59133247779
"N--","softmax(Q * gaze)",1586.739225,644.512928933168,50,1424.67939334967,91.1478925222093,1677.88711752221,1495.59133247779
"N--","softmax(Q) * gaze",1586.739225,644.512928933168,50,1540.45564929925,91.1478925222093,1677.88711752221,1495.59133247779
"N--","softmax(Q) + gaze",1586.739225,644.512928933168,50,1390.85181361374,91.1478925222093,1677.88711752221,1495.59133247779
"N--","softmax(Q + gaze)",1586.739225,644.512928933168,50,1392.00757024087,91.1478925222093,1677.88711752221,1495.59133247779
"I","Q",1313.54708333333,454.640438712317,50,1343.93601018455,64.2958674430213,1377.84295077635,1249.25121589031
"I","Q * gaze",1313.54708333333,454.640438712317,50,1468.06736961686,64.2958674430213,1377.84295077635,1249.25121589031
"I","Q + gaze",1313.54708333333,454.640438712317,50,1332.91906840293,64.2958674430213,1377.84295077635,1249.25121589031
"I","softmax(Q)",1313.54708333333,454.640438712317,50,1311.54429881295,64.2958674430213,1377.84295077635,1249.25121589031
"I","softmax(Q * gaze)",1313.54708333333,454.640438712317,50,1320.71841168028,64.2958674430213,1377.84295077635,1249.25121589031
"I","softmax(Q) * gaze",1313.54708333333,454.640438712317,50,1487.96097911328,64.2958674430213,1377.84295077635,1249.25121589031
"I","softmax(Q) + gaze",1313.54708333333,454.640438712317,50,1306.47557296451,64.2958674430213,1377.84295077635,1249.25121589031
"I","softmax(Q + gaze)",1313.54708333333,454.640438712317,50,1310.97997019434,64.2958674430213,1377.84295077635,1249.25121589031
