"","(Intercept)","trial_number_z","gaze_diff_z","OEV_z","trial_number_z:gaze_diff_z","trial_number_z:OEV_z"
"1",7.35542593319591,-0.165517240503342,-0.119864291558389,0.0906877873754754,-0.00376104677848002,0.00497279686658347
"2",7.16319695222958,-0.183711951016067,-0.0432144854557663,-0.143940223255431,-0.0196704731311222,-0.0102149112716718
"3",6.72561998539092,-0.0911316207695108,-0.0227636936375177,0.0286147731143398,0.0665087067629514,-0.0109271381333442
"4",7.11639962748301,-0.0480251016100882,-0.167422529134007,0.0107827709566264,0.00908745388121027,-0.0123673407214628
"6",7.26331934262398,-0.100216107812132,-0.0525313469706386,0.0064194956550686,-0.0317763283865757,-0.00750091391717935
"7",6.57529533455315,-0.183323177030299,-0.041994926633811,-0.0363882127523303,0.0282372816901015,0.0162898033357271
"8",7.06231828602103,-0.0562594769305693,-0.168241783106395,0.00425655314358398,-0.0300636670864155,-0.00986098932268475
"9",7.21233112146361,-0.143678142363335,-0.0885923347268506,-0.018873291134582,-0.000819331315876345,-0.00240681320131152
"10",7.28069235594106,-0.322419910725395,-0.094890897059622,0.0155394592627796,0.0421461632768276,0.030237982660387
"11",6.02564151966577,-0.261042985612915,0.0271523004324919,-0.0285172608577057,0.0747844951488084,0.0669499900101251
"12",6.89455755515146,-0.20116585243403,-0.0269295031287221,-0.0449087053236124,0.0249083838328056,0.00296467459986518
"13",7.31720602620937,-0.130499104451004,-0.0145539203399203,-0.0126477736740997,0.0216186848468378,-0.0316105111802197
"14",7.11605353447751,-0.129215316541369,-0.0147355561402092,0.0473324121596093,0.0153545348063211,-0.0167567935016983
"16",6.85905058439652,-0.234280326236717,-0.0583496676907405,-0.032668768662424,0.0117638490523177,0.0214534895014999
"17",7.48787245108726,-0.35619558941879,-0.0373023944616473,-0.0304624803806335,0.0115997531552925,0.00960872293389544
"18",7.1676517631906,-0.135412826900556,-0.091298550599083,-0.0289711172157781,0.00150293124855032,-0.0104547125701775
"19",7.18749925352469,-0.121055631769255,-0.0814443717382757,-0.0394726454361089,0.00440795562139089,-0.0131442925778852
"20",7.341159431307,-0.112085809180342,-0.11366085761905,-0.0143575479144393,-0.0236210227034454,-0.0167309854683593
"22",7.10141590979313,-0.266664561440947,-0.0974629074415172,-0.066647742664725,0.0264386946984613,0.00335639945873483
"23",7.04685899056197,-0.000563341729825501,-0.0514406131476856,-0.0705750460893344,0.0348119608883689,-0.0514126158975687
"24",7.3023972488334,-0.273969924188552,-0.081635797955586,-0.0515834066115012,0.0296204482666845,-0.00770997014749858
"25",6.9546124731202,-0.182351645541227,-0.0411138836707357,0.0140763504406106,0.0329357348203042,0.0193153095228195
"26",7.47971364910025,-0.313892275962977,-0.0640896952848969,-0.0154892910022162,0.0197763973374937,0.016072399553783
"28",6.99478621525403,-0.29102506977367,-0.0829760159577495,0.0137787796835665,0.0817820772594226,0.00469818807781857
"29",7.2049089561643,-0.0501786615945177,-0.089914562058665,-0.0241986952313593,0.0284158348487901,-0.0304763270074408
"31",7.18187101402594,-0.24370315311161,-0.14427069869916,0.0264711808017018,0.0716466268669135,0.00416752246511345
"32",6.81278955161135,-0.227062629637699,-0.106430015760613,-0.0242528628510545,0.0416828730973597,0.0190613257510524
"33",6.73849780192064,-0.267526834046854,-0.0828077227164486,-0.0237675409987491,0.0210149294191737,0.0238640503736486
