"subject","trial_number","block","context","left_index","right_index","correct_resp","CHOICE_KEY","RT","left_outcome","right_outcome","chosen_option","EV_left","EV_right","correct_option","correct","choice","choice_id","pre_fix_left","pre_fix_right"
1,1,"learning",1,1,2,"right","Right",3850.14,16,19,2,15,18,1,1,2,2,0.597014925373134,0.402985074626866
1,2,"learning",3,5,6,"right","Right",2279.89,28,30,6,27,30,5,1,6,2,0.339080459770115,0.660919540229885
1,3,"learning",3,6,5,"left","Left",2491.91,28,30,6,30,27,5,1,6,1,0.75796178343949,0.24203821656051
1,4,"learning",2,3,4,"right","Right",2273.62,20,23,4,21,24,3,1,4,2,0,1
1,5,"learning",1,1,2,"right","Right",1670.8,16,19,2,15,18,1,1,2,2,0.554455445544555,0.445544554455446
1,6,"learning",2,3,4,"right","Left",4256.44,22,25,3,21,24,3,0,3,1,0.405091558731577,0.594908441268423
1,7,"learning",3,6,5,"left","Left",2072.33,27,30,6,30,27,5,1,6,1,0.331162790697674,0.668837209302325
1,8,"learning",3,6,5,"left","Right",1789.49,32,26,5,30,27,5,0,5,2,0.5,0.5
1,9,"learning",2,3,4,"right","Right",1608.77,18,23,4,21,24,3,1,4,2,0.474178403755869,0.525821596244131
1,10,"learning",1,2,1,"left","Left",2478.27,20,16,2,18,15,1,1,2,1,0.483490566037736,0.516509433962264
1,11,"learning",4,8,7,"left","Right",2001.59,38,32,7,36,33,7,0,7,2,0.315503173164098,0.684496826835902
1,12,"learning",3,5,6,"right","Right",3899.96,28,30,6,27,30,5,1,6,2,0.56427255985267,0.43572744014733
1,13,"learning",2,4,3,"left","Left",2586.81,26,19,4,24,21,3,1,4,1,0.636363636363636,0.363636363636364
1,14,"learning",1,1,2,"right","Right",1346,14,17,2,15,18,1,1,2,2,0.364333652924257,0.635666347075743
1,15,"learning",1,1,2,"right","Right",1365.64,16,18,2,15,18,1,1,2,2,0.51827242524917,0.481727574750831
1,16,"learning",2,3,4,"right","Left",2303.85,18,27,3,21,24,3,0,3,1,0.552995391705069,0.447004608294931
1,17,"learning",4,7,8,"right","Left",3214.59,30,36,7,33,36,7,0,7,1,0.440184049079755,0.559815950920245
1,18,"learning",2,3,4,"right","Right",2259.35,18,22,4,21,24,3,1,4,2,0.546651402404121,0.453348597595879
1,19,"learning",3,6,5,"left","Right",3064.22,32,26,5,30,27,5,0,5,2,0.459602111246447,0.540397888753553
1,20,"learning",1,1,2,"right","Right",1164.67,12,16,2,15,18,1,1,2,2,0.54,0.46
1,21,"learning",1,1,2,"right","Right",1632.21,16,14,2,15,18,1,1,2,2,0.704028021015762,0.295971978984238
1,22,"learning",1,2,1,"left","Right",2636.26,17,14,1,18,15,1,0,1,2,0.443786982248521,0.556213017751479
1,23,"learning",2,4,3,"left","Right",3235.63,24,20,3,24,21,3,0,3,2,0.612048192771084,0.387951807228916
1,24,"learning",1,2,1,"left","Left",1689.66,20,14,2,18,15,1,1,2,1,0.676396997497915,0.323603002502085
1,25,"learning",3,6,5,"left","Left",1771.6,29,26,6,30,27,5,1,6,1,0.606850335070737,0.393149664929263
1,26,"learning",4,8,7,"left","Left",2125.97,33,36,8,36,33,7,1,8,1,0.539267015706806,0.460732984293194
1,27,"learning",3,6,5,"left","Left",2859.55,31,27,6,30,27,5,1,6,1,0.438040345821326,0.561959654178674
1,28,"learning",4,7,8,"right","Left",3077.44,34,37,7,33,36,7,0,7,1,0.724581223217764,0.275418776782236
1,29,"learning",4,7,8,"right","Right",2081.28,34,36,8,33,36,7,1,8,2,0.397932816537468,0.602067183462532
1,30,"learning",2,4,3,"left","Right",2430.23,22,24,3,24,21,3,0,3,2,0.467908902691511,0.532091097308489
1,31,"learning",4,7,8,"right","Right",2714.34,30,35,8,33,36,7,1,8,2,0.375,0.625
1,32,"learning",1,2,1,"left","Left",1472.07,19,15,2,18,15,1,1,2,1,0.56734693877551,0.43265306122449
1,33,"learning",3,5,6,"right","Right",2392.64,24,33,6,27,30,5,1,6,2,0.482142857142857,0.517857142857143
1,34,"learning",1,2,1,"left","Left",917.07,20,14,2,18,15,1,1,2,1,0.369230769230769,0.630769230769231
1,35,"learning",4,7,8,"right","Right",2168.41,34,37,8,33,36,7,1,8,2,0.485591661557327,0.514408338442673
1,36,"learning",4,8,7,"left","Left",2940.23,36,30,8,36,33,7,1,8,1,0.654255319148936,0.345744680851064
1,37,"learning",4,8,7,"left","Left",1598.21,35,32,8,36,33,7,1,8,1,0.452671040299906,0.547328959700094
1,38,"learning",1,2,1,"left","Left",781.73,15,18,2,18,15,1,1,2,1,0.575539568345324,0.424460431654676
1,39,"learning",3,5,6,"right","Right",1442.32,28,29,6,27,30,5,1,6,2,0.371850564726325,0.628149435273675
1,40,"learning",2,3,4,"right","Right",1873.47,22,24,4,21,24,3,1,4,2,0.431205673758865,0.568794326241135
1,41,"learning",4,8,7,"left","Left",1536.64,36,32,8,36,33,7,1,8,1,0.668580803937654,0.331419196062346
1,42,"learning",2,4,3,"left","Left",1641.46,24,18,4,24,21,3,1,4,1,0.664429530201342,0.335570469798658
1,43,"learning",2,3,4,"right","Right",2519.7,23,25,4,21,24,3,1,4,2,0.36944583125312,0.63055416874688
1,44,"learning",2,4,3,"left","Left",1507.31,26,23,4,24,21,3,1,4,1,0.551219512195122,0.448780487804878
1,45,"learning",4,8,7,"left","Left",1703.82,37,35,8,36,33,7,1,8,1,0.596330275229358,0.403669724770642
1,46,"learning",4,7,8,"right","Right",1132.33,34,35,8,33,36,7,1,8,2,0.251748251748252,0.748251748251748
1,47,"learning",4,7,8,"right","Right",1000.44,30,34,8,33,36,7,1,8,2,0.337278106508876,0.662721893491124
1,48,"learning",2,4,3,"left","Left",1124.01,21,24,4,24,21,3,1,4,1,0.46,0.54
1,49,"learning",2,4,3,"left","Right",840.87,25,21,3,24,21,3,0,3,2,0.450106157112527,0.549893842887473
1,50,"learning",3,6,5,"left","Left",1764.95,30,28,6,30,27,5,1,6,1,0.5168,0.4832
1,51,"learning",1,2,1,"left","Left",984.05,18,16,2,18,15,1,1,2,1,0.587982832618026,0.412017167381974
1,52,"learning",3,5,6,"right","Right",2392.49,24,30,6,27,30,5,1,6,2,0.64509394572025,0.35490605427975
1,53,"learning",3,5,6,"right","Right",1921.88,28,31,6,27,30,5,1,6,2,0.573759347382733,0.426240652617267
1,54,"learning",1,1,2,"right","Right",1033.2,16,19,2,15,18,1,1,2,2,0.496774193548387,0.503225806451613
1,55,"learning",3,6,5,"left","Left",1314.67,31,29,6,30,27,5,1,6,1,0.558515699333968,0.441484300666032
1,56,"learning",4,7,8,"right","Right",2006.31,34,37,8,33,36,7,1,8,2,0.588474576271186,0.411525423728814
1,57,"learning",4,8,7,"left","Left",1185.83,37,33,8,36,33,7,1,8,1,0.46031746031746,0.53968253968254
1,58,"learning",1,1,2,"right","Right",775.55,16,17,2,15,18,1,1,2,2,0.29723991507431,0.70276008492569
1,59,"learning",1,2,1,"left","Left",720.54,20,13,2,18,15,1,1,2,1,0.803738317757009,0.196261682242991
1,60,"learning",4,8,7,"left","Left",2327.23,36,32,8,36,33,7,1,8,1,0.516886090440756,0.483113909559244
1,61,"learning",1,2,1,"left","Left",737.16,18,12,2,18,15,1,1,2,1,0.585585585585586,0.414414414414414
1,62,"learning",2,4,3,"left","Right",2369.76,23,20,3,24,21,3,0,3,2,0.4149377593361,0.5850622406639
1,63,"learning",3,5,6,"right","Right",1412.67,24,28,6,27,30,5,1,6,2,0.606837606837607,0.393162393162393
1,64,"learning",1,1,2,"right","Right",808.45,13,16,2,15,18,1,1,2,2,0.403603603603604,0.596396396396396
1,65,"learning",3,6,5,"left","Left",1155.03,30,26,6,30,27,5,1,6,1,0.453271028037383,0.546728971962617
1,66,"learning",2,3,4,"right","Right",1296.15,19,22,4,21,24,3,1,4,2,0.379719525350593,0.620280474649407
1,67,"learning",1,2,1,"left","Left",623.79,20,17,2,18,15,1,1,2,1,1,0
1,68,"learning",2,4,3,"left","Left",1728.35,23,21,4,24,21,3,1,4,1,0.601084430673896,0.398915569326104
1,69,"learning",3,5,6,"right","Right",930.72,31,29,6,27,30,5,1,6,2,0.273809523809524,0.726190476190476
1,70,"learning",3,5,6,"right","Left",1643.47,24,29,5,27,30,5,0,5,1,1,0
1,71,"learning",2,3,4,"right","Right",2019.8,22,25,4,21,24,3,1,4,2,0.576388888888889,0.423611111111111
1,72,"learning",2,4,3,"left","Left",2625.82,24,20,4,24,21,3,1,4,1,0.519607843137255,0.480392156862745
1,73,"learning",1,1,2,"right","Right",668.05,17,19,2,15,18,1,1,2,2,0.257471264367816,0.742528735632184
1,74,"learning",2,4,3,"left","Left",1134.43,26,20,4,24,21,3,1,4,1,0.691860465116279,0.308139534883721
1,75,"learning",4,8,7,"left","Left",1281.68,38,35,8,36,33,7,1,8,1,0.482233502538071,0.517766497461929
1,76,"learning",4,8,7,"left","Left",796.01,35,33,8,36,33,7,1,8,1,0.83629191321499,0.16370808678501
1,77,"learning",4,7,8,"right","Right",1142.25,34,36,8,33,36,7,1,8,2,0.538888888888889,0.461111111111111
1,78,"learning",1,1,2,"right","Right",670.35,19,17,2,15,18,1,1,2,2,0,1
1,79,"learning",4,8,7,"left","Left",1215.07,38,32,8,36,33,7,1,8,1,0.75741935483871,0.24258064516129
1,80,"learning",2,4,3,"left","Left",1744.46,26,22,4,24,21,3,1,4,1,0.306896551724138,0.693103448275862
1,81,"learning",1,2,1,"left","Left",1113.69,18,14,2,18,15,1,1,2,1,0.724137931034483,0.275862068965517
1,82,"learning",1,1,2,"right","Right",1408.29,12,17,2,15,18,1,1,2,2,0.204651162790698,0.795348837209302
1,83,"learning",3,6,5,"left","Right",2694.43,30,26,5,30,27,5,0,5,2,0.409430707303048,0.590569292696952
1,84,"learning",4,7,8,"right","Right",1101.87,34,32,8,33,36,7,1,8,2,0.467836257309941,0.532163742690059
1,85,"learning",2,3,4,"right","Right",1783.02,18,24,4,21,24,3,1,4,2,0.6625,0.3375
